sp,support,woodiness,nfixing
Coryphantha maiz-tablasensis,F,NA,NA
Coryphantha neglecta,F,NA,NA
Coryphantha nickelsiae,F,NA,NA
Coryphantha obscura,F,NA,NA
Coryphantha octacantha,F,NA,NA
Coryphantha odorata,F,NA,NA
Coryphantha ottonis,F,NA,NA
Coryphantha pallida,F,NA,NA
Coryphantha panarottoi,F,NA,NA
Coryphantha poselgeriana,F,NA,NA
Coryphantha potosiana,F,NA,NA
Coryphantha pseudoechinus,F,NA,NA
Coryphantha pseudonickelsae,F,NA,NA
Coryphantha pulleineana,F,NA,NA
Coryphantha pycnacantha,F,NA,NA
Coryphantha ramillosa,F,NA,NA
Coryphantha recurvata,F,NA,NA
Coryphantha retusa,F,NA,NA
Coryphantha robustispina,F,NA,NA
Coryphantha salinensis,F,NA,NA
Coryphantha salm-dyckiana,F,NA,NA
Coryphantha sulcata,F,NA,NA
Coryphantha tripugionacantha,F,NA,NA
Coryphantha vaupeliana,F,NA,NA
Coryphantha vogtherriana,F,NA,NA
Coryphantha werdermannii,F,NA,NA
Coryphantha wohlschlageri,F,NA,NA
Corythophora alta,F,W,NA
Corythophora rimosa,F,W,NA
Corytoplectus congestus,F,NA,NA
Coscinium fenestratum,C,NA,NA
Cosmelia rubra,F,W,NA
Cosmibuena macrocarpa,F,W,NA
Cosmibuena valerioi,F,W,NA
Cosmos bipinnatus,F,H,NA
Cosmos caudatus,F,NA,NA
Cosmos parviflorus,F,NA,No
Cosmos peucedanifolius,F,NA,NA
Cosmos sulphureus,F,H,NA
Cosmostigma cordatum,C,NA,NA
Cosmostigma hainanense,C,NA,NA
Cossinia australiana,F,W,NA
Cossinia pacifica,F,W,NA
Costularia arundinacea,F,NA,NA
Costularia breviseta,F,NA,NA
Costularia comosa,F,H,NA
Costularia humbertii,F,NA,NA
Costularia laxa,F,NA,NA
Costularia leucocarpa,F,NA,NA
Costularia melicoides,F,NA,NA
Costularia melleri,F,NA,NA
Costularia microcarpa,F,NA,NA
Costularia neocaledonica,F,H,NA
Costularia nervosa,F,NA,NA
Costularia pantopoda,F,NA,NA
Costularia pilisepala,F,NA,NA
Costularia pubescens,F,NA,NA
Costularia purpurea,F,NA,NA
Costularia setacea,F,NA,NA
Costularia stagnalis,F,NA,NA
Costularia sylvestris,F,NA,NA
Costularia xyridioides,F,NA,NA
Costus acanthocephalus,F,NA,NA
Costus acreanus,F,NA,NA
Costus adolphi-friderici,F,NA,NA
Costus afer,F,NA,NA
Costus allenii,F,W,NA
Costus amazonicus,F,W,NA
Costus arabicus,F,NA,NA
Costus asplundii,F,W,NA
Costus asteranthus,F,NA,NA
Costus beckii,F,NA,NA
Costus bicolor,F,NA,NA
Costus bracteatus,F,NA,NA
Costus bullatus,F,NA,NA
Costus chartaceus,F,NA,NA
Costus chrysocephalus,F,NA,NA
Costus claviger,F,W,NA
Costus clemensiae,F,NA,NA
Costus comosus,F,W,NA
Costus cordatus,F,W,NA
Costus cupreifolius,F,W,NA
Costus curvibracteatus,F,W,NA
Costus deistelii,F,NA,NA
Costus dendrophilus,F,NA,NA
Costus dewevrei,F,W,NA
Costus dinklagei,F,NA,NA
Costus dirzoi,F,W,NA
Costus dubius,F,W,NA
Costus eburneus,F,NA,NA
Costus erythrocoryne,F,W,NA
Costus erythrophyllus,F,W,NA
Costus erythrothyrsus,F,NA,NA
Costus fissicalyx,F,NA,NA
Costus fissiligulatus,F,NA,NA
Costus foliaceus,F,NA,NA
Costus fortalezae,F,NA,NA
Costus gabonensis,F,NA,NA
Costus geothyrsus,F,W,NA
Costus giganteus,F,NA,NA
Costus glaucus,F,W,NA
Costus guanaiensis,F,W,NA
Costus juruanus,F,W,NA
Costus laevis,F,NA,NA
Costus lasius,F,W,NA
Costus le-testui,F,NA,NA
Costus ledermannii,F,NA,NA
Costus letestui,E,NA,NA
Costus leucanthus,F,W,NA
Costus ligularis,F,NA,NA
Costus lima,F,W,NA
Costus longibracteolatus,F,NA,NA
Costus lucanusianus,F,W,NA
Costus maboumiensis,F,NA,NA
Costus macranthus,F,NA,NA
Costus malortieanus,F,W,NA
Costus megalobractea,F,NA,NA
Costus microcephalus,F,NA,NA
Costus montanus,F,W,NA
Costus mosaicus,F,NA,NA
Costus muluensis,F,NA,NA
Costus mulus,F,NA,NA
Costus nemotrichus,F,NA,NA
Costus nitidus,F,W,NA
Costus nudicaulis,F,NA,NA
Costus oblongus,F,NA,NA
Costus oligophyllus,F,NA,NA
Costus osae,F,NA,NA
Costus phaeotrichus,F,NA,NA
Costus phyllocephalus,F,NA,NA
Costus pictus,F,W,NA
Costus plicatus,F,W,NA
Costus plowmanii,F,W,NA
Costus productus,F,W,NA
Costus pulverulentus,F,W,No
Costus quasi-appendiculatus,F,NA,NA
Costus ricus,F,NA,NA
Costus rumphianus,F,NA,NA
Costus sarmentosus,F,W,NA
Costus scaber,F,W,NA
Costus schlechteri,F,NA,NA
Costus sepacuitensis,F,NA,NA
Costus spectabilis,F,NA,NA
Costus spiralis,F,NA,NA
Costus sprucei,F,W,NA
Costus stenophyllus,F,W,NA
Costus subbiflorus,F,NA,NA
Costus sulfureus,F,NA,NA
Costus tappenbeckianus,F,NA,NA
Costus tonkinensis,F,NA,NA
Costus ubangiensis,F,NA,NA
Costus ulei,F,NA,NA
Costus vargasii,F,NA,NA
Costus varzearum,F,W,NA
Costus villosissimus,F,NA,NA
Costus vinosus,F,W,NA
Costus violaceus,F,NA,NA
Costus viridis,F,NA,NA
Costus wilsonii,F,W,NA
Costus woodsonii,F,W,NA
Costus zamoranus,F,W,NA
Costus zingiberoides,F,W,NA
Cota austriaca,F,NA,NA
Cota palaestina,F,NA,NA
Cota tinctoria,F,NA,No
Cotinus coggygria,F,W,NA
Cotinus obovatus,F,NA,NA
Cotoneaster acuminatus,F,NA,NA
Cotoneaster acutifolius,F,W,NA
Cotoneaster adpressus,F,W,NA
Cotoneaster affinis,F,NA,NA
Cotoneaster alashanensis,F,NA,NA
Cotoneaster alatavicus,F,NA,NA
Cotoneaster alaunicus,F,NA,NA
Cotoneaster albokermesinus,F,NA,NA
Cotoneaster allochrous,F,NA,NA
Cotoneaster altaicus,F,NA,NA
Cotoneaster ambiguus,F,W,NA
Cotoneaster amoenus,F,NA,NA
Cotoneaster angustus,F,NA,NA
Cotoneaster apiculatus,F,NA,NA
Cotoneaster armenus,F,NA,NA
Cotoneaster ascendens,F,NA,NA
Cotoneaster assadii,F,NA,NA
Cotoneaster astrophoros,F,NA,NA
Cotoneaster ataensis,F,NA,NA
Cotoneaster atropurpureus,F,NA,NA
Cotoneaster atrovinaceus,F,NA,NA
Cotoneaster atrovirens,F,NA,NA
Cotoneaster atuntzensis,F,NA,NA
Cotoneaster aurantiacus,F,NA,NA
Cotoneaster bacillaris,F,NA,NA
Cotoneaster beimashanensis,F,NA,NA
Cotoneaster boisianus,F,NA,NA
Cotoneaster borealichinensis,F,NA,NA
Cotoneaster bradyi,F,NA,NA
Cotoneaster brevirameus,F,NA,NA
Cotoneaster brickellii,F,NA,NA
Cotoneaster browiczii,F,NA,NA
Cotoneaster bullatus,F,NA,NA
Cotoneaster bumthangensis,F,NA,NA
Cotoneaster buxifolius,F,NA,NA
Cotoneaster calocarpus,F,NA,NA
Cotoneaster cambricus,F,NA,NA
Cotoneaster camilli-schneideri,F,NA,NA
Cotoneaster campanulatus,F,NA,NA
Cotoneaster capsicinus,F,NA,NA
Cotoneaster cardinalis,F,NA,NA
Cotoneaster cashmiriensis,F,NA,NA
Cotoneaster chadwellii,F,NA,NA
Cotoneaster chailaricus,F,NA,NA
Cotoneaster chengkangensis,F,NA,NA
Cotoneaster chuanus,F,NA,NA
Cotoneaster chulingensis,F,NA,NA
Cotoneaster chungtiensis,F,NA,NA
Cotoneaster cinovskisii,F,NA,NA
Cotoneaster coadunatus,F,NA,NA
Cotoneaster cochleatus,F,NA,NA
Cotoneaster congestus,F,NA,NA
Cotoneaster conspicuus,F,NA,NA
Cotoneaster convexus,F,NA,NA
Cotoneaster cooperi,F,NA,NA
Cotoneaster coriaceus,F,NA,NA
Cotoneaster creticus,F,NA,NA
Cotoneaster crispii,F,NA,NA
Cotoneaster cuspidatus,F,NA,NA
Cotoneaster daliensis,F,NA,NA
Cotoneaster dammeri,F,NA,NA
Cotoneaster decandrus,F,NA,NA
Cotoneaster declinatus,F,NA,NA
Cotoneaster dielsianus,F,NA,NA
Cotoneaster difficilis,F,NA,NA
Cotoneaster discolor,F,NA,NA
Cotoneaster divaricatus,F,NA,NA
Cotoneaster dokeriensis,F,NA,NA
Cotoneaster drogochius,F,NA,NA
Cotoneaster duthieanus,F,NA,NA
Cotoneaster elegans,F,NA,NA
Cotoneaster ellipticus,F,NA,NA
Cotoneaster emeiensis,F,NA,NA
Cotoneaster encavei,F,NA,NA
Cotoneaster erratus,F,NA,NA
Cotoneaster esfandiarii,F,NA,NA
Cotoneaster estiensis,F,NA,NA
Cotoneaster fangianus,F,NA,NA
Cotoneaster fastigiatus,F,NA,NA
Cotoneaster favargeri,F,NA,NA
Cotoneaster flinckii,F,NA,NA
Cotoneaster floccosus,F,NA,NA
Cotoneaster forrestii,F,NA,NA
Cotoneaster foveolatus,F,NA,NA
Cotoneaster franchetii,F,NA,NA
Cotoneaster frigidus,F,NA,NA
Cotoneaster fruticosus,F,NA,NA
Cotoneaster fulvidus,F,NA,NA
Cotoneaster ganghobaensis,F,NA,NA
Cotoneaster giraldii,F,NA,NA
Cotoneaster glabratus,F,NA,NA
Cotoneaster glacialis,F,NA,NA
Cotoneaster glaucophyllus,F,NA,NA
Cotoneaster glomerulatus,F,NA,NA
Cotoneaster goloskokovii,F,NA,NA
Cotoneaster gonggashanensis,F,NA,NA
Cotoneaster gracilis,F,NA,NA
Cotoneaster granatensis,F,W,NA
Cotoneaster harrovianus,F,NA,NA
Cotoneaster harrysmithii,F,NA,NA
Cotoneaster hebephyllus,F,W,NA
Cotoneaster hedegaardii,F,NA,NA
Cotoneaster henryanus,F,NA,NA
Cotoneaster hersianus,F,NA,NA
Cotoneaster hicksii,F,NA,NA
Cotoneaster hillieri,F,NA,NA
Cotoneaster hissaricus,F,NA,NA
Cotoneaster hjelmqvistii,F,NA,NA
Cotoneaster hodjingensis,F,NA,NA
Cotoneaster horizontalis,F,W,No
Cotoneaster hsingshangensis,F,NA,NA
Cotoneaster huahongdongensis,F,NA,NA
Cotoneaster hualiensis,F,NA,NA
Cotoneaster hummelii,F,NA,NA
Cotoneaster hupehensis,F,NA,NA
Cotoneaster hylanderi,F,NA,NA
Cotoneaster hylmoei,F,NA,NA
Cotoneaster hypocarpus,F,NA,NA
Cotoneaster ignavus,F,NA,NA
Cotoneaster ignotus,F,NA,NA
Cotoneaster incanus,F,NA,NA
Cotoneaster induratus,F,NA,NA
Cotoneaster insculptus,F,NA,NA
Cotoneaster insignis,F,NA,NA
Cotoneaster integerrimus,F,W,No
Cotoneaster integrifolius,F,NA,NA
Cotoneaster intermedius,F,NA,NA
Cotoneaster kangdingensis,F,NA,NA
Cotoneaster kitaibelii,F,NA,NA
Cotoneaster kongboensis,F,NA,NA
Cotoneaster kotschyi,F,NA,NA
Cotoneaster krasnovii,F,NA,NA
Cotoneaster kuanensis,F,NA,NA
Cotoneaster kweitschoviensis,F,NA,NA
Cotoneaster lacteus,F,NA,NA
Cotoneaster laetevirens,F,NA,NA
Cotoneaster langei,F,NA,NA
Cotoneaster leveillei,F,NA,NA
Cotoneaster lidjiangensis,F,NA,NA
Cotoneaster linearifolius,F,NA,NA
Cotoneaster lucidus,F,NA,NA
Cotoneaster ludlowii,F,NA,NA
Cotoneaster luristanica,F,NA,NA
Cotoneaster magnificus,F,NA,NA
Cotoneaster mairei,F,NA,NA
Cotoneaster majusculus,F,NA,NA
Cotoneaster marginatus,F,NA,NA
Cotoneaster marquandii,F,NA,NA
Cotoneaster marroninus,F,NA,NA
Cotoneaster megalocarpus,F,NA,NA
Cotoneaster meiophyllus,F,NA,NA
Cotoneaster melanocarpus,F,NA,NA
Cotoneaster melanotrichus,F,NA,NA
Cotoneaster meyeri,F,NA,NA
Cotoneaster microcarpus,F,NA,NA
Cotoneaster microphyllus,F,W,NA
Cotoneaster milkedandaensis,F,NA,NA
Cotoneaster minimus,F,NA,NA
Cotoneaster mongolicus,F,NA,NA
Cotoneaster monopyrenus,F,NA,NA
Cotoneaster morrisonensis,F,NA,NA
Cotoneaster morulus,F,NA,NA
Cotoneaster moupinensis,F,NA,NA
Cotoneaster mucronatus,F,NA,NA
Cotoneaster muliensis,F,NA,NA
Cotoneaster multiflorus,F,W,NA
Cotoneaster naninitens,F,NA,NA
Cotoneaster nanshan,F,NA,NA
Cotoneaster nantouensis,F,NA,NA
Cotoneaster naoujanensis,F,NA,NA
Cotoneaster narynensis,F,NA,NA
Cotoneaster natmataungensis,F,NA,NA
Cotoneaster nebrodensis,F,NA,NA
Cotoneaster nefedovii,F,NA,NA
Cotoneaster neo-antoninae,F,NA,NA
Cotoneaster neopopovii,F,NA,NA
Cotoneaster newryensis,F,NA,NA
Cotoneaster niger,F,NA,NA
Cotoneaster nitens,F,NA,NA
Cotoneaster nitidifolius,F,NA,NA
Cotoneaster nitidus,F,NA,NA
Cotoneaster nohelii,F,NA,NA
Cotoneaster nummularioides,F,NA,NA
Cotoneaster nummularius,F,W,NA
Cotoneaster obscurus,F,NA,NA
Cotoneaster obtusus,F,NA,NA
Cotoneaster ogisui,F,NA,NA
Cotoneaster oliganthus,F,NA,NA
Cotoneaster omissus,F,NA,NA
Cotoneaster ottoschwarzii,F,NA,NA
Cotoneaster ovata,F,NA,NA
Cotoneaster ovatus,F,NA,NA
Cotoneaster pannosus,F,W,NA
Cotoneaster peduncularis,F,NA,NA
Cotoneaster pekinensis,F,NA,NA
Cotoneaster perpusillus,F,NA,NA
Cotoneaster persica,F,NA,NA
Cotoneaster pluriflorus,F,NA,NA
Cotoneaster pojarkovae,F,NA,NA
Cotoneaster poluninii,F,NA,NA
Cotoneaster polyanthemus,F,NA,NA
Cotoneaster popovii,F,NA,NA
Cotoneaster potaninii,F,NA,NA
Cotoneaster procumbens,F,NA,NA
Cotoneaster prostratus,F,NA,NA
Cotoneaster pruinosa,F,NA,NA
Cotoneaster przewalskii,F,NA,NA
Cotoneaster pseudo-obscurus,F,NA,NA
Cotoneaster pseudoambiguus,F,NA,NA
Cotoneaster qungbixiensis,F,NA,NA
Cotoneaster racemiflorus,F,NA,NA
Cotoneaster radicans,F,NA,NA
Cotoneaster rechingeri,F,NA,NA
Cotoneaster rehderi,F,NA,NA
Cotoneaster reticulatus,F,NA,NA
Cotoneaster rhytidophyllus,F,NA,NA
Cotoneaster roborowskii,F,NA,NA
Cotoneaster rokujodaisanensis,F,NA,NA
Cotoneaster roseus,F,NA,NA
Cotoneaster rotundifolius,F,NA,NA
Cotoneaster rubens,F,NA,NA
Cotoneaster rugosus,F,NA,NA
Cotoneaster salicifolius,F,NA,NA
Cotoneaster salwinensis,F,NA,NA
Cotoneaster sanguineus,F,NA,NA
Cotoneaster saxatilis,F,NA,NA
Cotoneaster schantungensis,F,NA,NA
Cotoneaster serotinus,F,NA,NA
Cotoneaster shansiensis,F,NA,NA
Cotoneaster sherriffii,F,NA,NA
Cotoneaster sikangensis,F,NA,NA
Cotoneaster simonsii,F,NA,NA
Cotoneaster soczavianus,F,NA,NA
Cotoneaster songaricus,F,NA,NA
Cotoneaster splendens,F,NA,NA
Cotoneaster spongbergii,F,NA,NA
Cotoneaster sternianus,F,NA,NA
Cotoneaster suavis,F,NA,NA
Cotoneaster subacutus,F,NA,NA
Cotoneaster subadpressus,F,NA,NA
Cotoneaster submultiflorus,F,W,NA
Cotoneaster suecicus,F,NA,NA
Cotoneaster svenhedinii,F,NA,NA
Cotoneaster sylvestrii,F,NA,NA
Cotoneaster taiwanensis,F,NA,NA
Cotoneaster talgaricus,F,NA,NA
Cotoneaster tanpaensis,F,NA,NA
Cotoneaster taoensis,F,NA,NA
Cotoneaster taofuensis,F,NA,NA
Cotoneaster tardiflorus,F,NA,NA
Cotoneaster taylorii,F,NA,NA
Cotoneaster teijiashanensis,F,NA,NA
Cotoneaster tengyuehensis,F,NA,NA
Cotoneaster tenuipes,F,W,NA
Cotoneaster thymifolius,F,NA,NA
Cotoneaster tjuliniae,F,NA,NA
Cotoneaster tomentellus,F,NA,NA
Cotoneaster transcaucasicus,F,NA,NA
Cotoneaster transens,F,NA,NA
Cotoneaster tripyrenus,F,NA,NA
Cotoneaster tsarongensis,F,NA,NA
Cotoneaster tumeticus,F,NA,NA
Cotoneaster turbinatus,F,NA,NA
Cotoneaster turcomanicus,F,NA,NA
Cotoneaster tytthocarpus,F,NA,NA
Cotoneaster undulatus,F,NA,NA
Cotoneaster uniflorus,F,NA,NA
Cotoneaster uva-ursi,F,NA,NA
Cotoneaster vandelaarii,F,NA,NA
Cotoneaster veitchii,F,NA,NA
Cotoneaster vernae,F,NA,NA
Cotoneaster verokotschyi,F,NA,NA
Cotoneaster verruculosus,F,NA,NA
Cotoneaster vestitus,F,NA,NA
Cotoneaster villosulus,F,NA,NA
Cotoneaster vilmorinianus,F,NA,NA
Cotoneaster wanbooyensis,F,NA,NA
Cotoneaster wardii,F,NA,NA
Cotoneaster washanensis,F,NA,NA
Cotoneaster watereri,F,NA,NA
Cotoneaster yakuticus,F,NA,NA
Cotoneaster yalungensis,F,NA,NA
Cotoneaster yinchangensis,F,NA,NA
Cotoneaster yulingkongensis,F,NA,NA
Cotoneaster zabelii,F,NA,NA
Cotoneaster zayulensis,F,NA,NA
Cotoneaster zeravschanicus,F,NA,NA
Cotopaxia asplundii,F,NA,NA
Cottea pappophoroides,F,NA,NA
Cottendorfia florida,F,H,NA
Cotula alpina,F,NA,NA
Cotula andreae,F,NA,NA
Cotula anthemoides,F,NA,NA
Cotula australis,F,H,NA
Cotula barbata,F,NA,NA
Cotula bipinnata,F,NA,NA
Cotula bracteolata,F,NA,NA
Cotula burchellii,F,NA,NA
Cotula ceniifolia,F,NA,NA
Cotula coronopifolia,F,H,NA
Cotula cotuloides,F,NA,NA
Cotula dielsii,F,NA,NA
Cotula duckittiae,F,NA,NA
Cotula eckloniana,F,NA,NA
Cotula filifolia,F,NA,NA
Cotula hemisphaerica,F,NA,NA
Cotula heterocarpa,F,NA,NA
Cotula hispida,F,NA,NA
Cotula laxa,F,NA,NA
Cotula leptalea,F,NA,NA
Cotula lineariloba,F,NA,NA
Cotula loganii,F,NA,NA
Cotula macroglossa,F,NA,NA
Cotula melaleuca,F,NA,NA
Cotula membranifolia,F,NA,NA
Cotula mexicana,F,NA,NA
Cotula microglossa,F,NA,NA
Cotula montana,F,NA,NA
Cotula nudicaulis,F,NA,NA
Cotula paludosa,F,NA,NA
Cotula paradoxa,F,NA,NA
Cotula pedicellata,F,NA,NA
Cotula pedunculata,F,NA,NA
Cotula pterocarpa,F,NA,NA
Cotula pusilla,F,NA,NA
Cotula radicalis,F,NA,NA
Cotula socialis,F,NA,NA
Cotula sororia,F,NA,NA
Cotula tenella,F,NA,NA
Cotula thunbergii,F,NA,NA
Cotula turbinata,F,NA,NA
Cotula villosa,F,NA,NA
Cotula vulgaris,F,NA,NA
Cotula zeyheri,F,NA,NA
Cotyledon adscendens,F,NA,NA
Cotyledon barbeyi,F,NA,NA
Cotyledon campanulata,F,NA,NA
Cotyledon cuneata,F,NA,NA
Cotyledon eliseae,F,NA,NA
Cotyledon elongata,F,NA,NA
Cotyledon orbiculata,F,W,NA
Cotyledon papillaris,F,NA,NA
Cotyledon pendens,F,NA,NA
Cotyledon tomentosa,F,NA,NA
Cotyledon velutina,F,NA,NA
Cotyledon woodii,F,NA,NA
Cotylelobium burckii,F,W,NA
Cotylelobium lanceolatum,F,W,NA
Cotylelobium melanoxylon,F,W,NA
Cotylolabium lutzii,F,NA,NA
Couepia bracteosa,F,W,NA
Couepia canomensis,F,NA,No
Couepia caryophylloides,F,W,No
Couepia chrysocalyx,F,W,No
Couepia comosa,F,W,NA
Couepia elata,F,W,No
Couepia grandiflora,F,NA,No
Couepia guianensis,F,W,NA
Couepia hoffmanniana,F,W,NA
Couepia hostmanniana,F,W,NA
Couepia latifolia,F,W,NA
Couepia longipendula,F,W,NA
Couepia macrophylla,F,W,NA
Couepia obovata,F,W,NA
Couepia paraensis,F,W,NA
Couepia parillo,F,W,NA
Couepia polyandra,F,W,NA
Couepia robusta,F,W,No
Couepia ulei,F,W,NA
Couepia venosa,F,NA,NA
Couepia williamsii,F,NA,NA
Coula edulis,P,W,No
Couma catingae,F,W,NA
Couma guianensis,F,W,NA
Couma macrocarpa,F,W,NA
Couma utilis,F,W,NA
Couratari asterotricha,F,W,NA
Couratari gloriosa,F,NA,NA
Couratari guianensis,F,W,NA
Couratari longipedicellata,F,W,NA
Couratari macrosperma,F,W,NA
Couratari multiflora,F,W,NA
Couratari oblongifolia,F,W,NA
Couratari stellata,F,W,No
Couratari tauari,F,W,NA
Couroupita guianensis,F,W,NA
Couroupita nicaraguarensis,F,W,NA
Couroupita subsessilis,F,W,NA
Coursetia ferruginea,F,W,Yes
Coursetia hassleri,F,NA,NA
Courtoisina assimilis,F,H,NA
Coussapoa angustifolia,H,NA,NA
Coussapoa asperifolia,H,W,NA
Coussapoa batavorum,H,W,NA
Coussapoa cinnamomifolia,H,NA,NA
Coussapoa contorta,H,NA,NA
Coussapoa crassivenosa,H,NA,NA
Coussapoa david-smithii,H,NA,NA
Coussapoa duquei,H,NA,NA
Coussapoa herthae,H,NA,NA
Coussapoa jatun-sachensis,H,NA,NA
Coussapoa latifolia,H,W,NA
Coussapoa manuensis,H,NA,NA
Coussapoa microcarpa,F,W,NA
Coussapoa nitida,H,NA,NA
Coussapoa orthoneura,H,W,NA
Coussapoa ovalifolia,H,W,NA
Coussapoa parviceps,H,W,NA
Coussapoa parvifolia,H,W,NA
Coussapoa purpusii,H,W,NA
Coussapoa scabra,H,NA,NA
Coussapoa tessmannii,H,NA,NA
Coussapoa trinervia,H,W,NA
Coussapoa vannifolia,H,NA,NA
Coussarea accedens,F,NA,NA
Coussarea albescens,F,NA,NA
Coussarea cephaeloides,F,W,NA
Coussarea curvigemma,F,NA,NA
Coussarea hirticalyx,C,W,NA
Coussarea impetiolaris,F,W,NA
Coussarea klugii,F,W,NA
Coussarea longifolia,F,NA,NA
Coussarea macrophylla,F,W,NA
Coussarea micrococca,F,W,NA
Coussarea obliqua,F,W,NA
Coussarea paniculata,F,W,NA
Coussarea rudgeoides,F,W,NA
Coussarea talamancana,F,W,NA
Coussarea tenuiflora,F,W,NA
Coussarea tortilis,C,NA,NA
Coutaportla ghiesbreghtiana,F,W,NA
Coutoubea minor,F,NA,NA
Coutoubea ramosa,F,NA,NA
Coutoubea reflexa,F,NA,NA
Coutoubea spicata,F,NA,NA
Crabbea acaulis,F,NA,NA
Crabbea angustifolia,F,NA,NA
Crabbea galpinii,F,NA,NA
Crabbea hirsuta,F,NA,NA
Crabbea nana,F,NA,NA
Crabbea ovalifolia,F,NA,NA
Crabbea velutina,F,NA,NA
Craibia brevicaudata,F,W,Yes
Craibia zimmermannii,F,W,NA
Craibiodendron henryi,F,NA,NA
Craibiodendron scleranthum,F,NA,NA
Craibiodendron stellatum,F,W,NA
Craibiodendron yunnanense,F,W,NA
Craigia yunnanensis,F,W,NA
Crambe cordifolia,F,NA,NA
Crambe hispanica,F,NA,NA
Cranichis acuminatissima,F,NA,NA
Cranichis amplectens,F,NA,NA
Cranichis antioquiensis,F,NA,NA
Cranichis apiculata,F,NA,NA
Cranichis brachyblephara,F,NA,NA
Cranichis callifera,F,NA,NA
Cranichis calva,E,NA,NA
Cranichis candida,F,NA,NA
Cranichis castellanosii,F,NA,NA
Cranichis ciliata,F,NA,NA
Cranichis ciliilabia,F,NA,NA
Cranichis cochleata,F,NA,NA
Cranichis crumenifera,F,NA,NA
Cranichis diphylla,F,NA,NA
Cranichis elliptica,F,NA,NA
Cranichis engelii,F,NA,NA
Cranichis fendleri,F,NA,NA
Cranichis foliosa,F,NA,NA
Cranichis galatea,F,NA,NA
Cranichis garayana,F,NA,NA
Cranichis gibbosa,F,NA,NA
Cranichis glabricaulis,F,NA,NA
Cranichis glandulosa,F,NA,NA
Cranichis gracilis,F,NA,NA
Cranichis hassleri,F,NA,NA
Cranichis hieroglyphica,F,NA,NA
Cranichis lankesteri,F,NA,NA
Cranichis lehmanniana,F,NA,NA
Cranichis lehmannii,F,NA,NA
Cranichis lichenophila,F,NA,NA
Cranichis longipetiolata,E,NA,NA
Cranichis macroblepharis,F,NA,NA
Cranichis muscosa,F,NA,NA
Cranichis notata,F,NA,NA
Cranichis nudilabia,F,NA,NA
Cranichis ovata,F,NA,NA
Cranichis picta,F,NA,NA
Cranichis polyantha,F,NA,NA
Cranichis reticulata,F,NA,NA
Cranichis revoluta,F,NA,NA
Cranichis ricartii,F,NA,NA
Cranichis saccata,F,NA,NA
Cranichis scripta,F,NA,NA
Cranichis sparrei,F,NA,NA
Cranichis subumbellata,F,NA,NA
Cranichis sylvatica,F,NA,NA
Cranichis talamancana,F,NA,NA
Cranichis tenuis,F,NA,NA
Cranichis turkeliae,F,NA,NA
Cranichis wageneri,F,NA,NA
Cranichis werffii,F,NA,NA
Craniotome furcata,F,NA,NA
Craspedia alba,F,NA,NA
Craspedia aurantia,F,NA,NA
Craspedia canens,F,NA,NA
Craspedia coolaminica,F,NA,NA
Craspedia costiniana,F,NA,NA
Craspedia crocata,F,NA,NA
Craspedia glauca,F,NA,NA
Craspedia haplorrhiza,F,NA,NA
Craspedia jamesii,F,NA,NA
Craspedia lamicola,F,NA,NA
Craspedia leucantha,F,NA,NA
Craspedia maxgrayi,F,NA,NA
Craspedia paludicola,F,NA,NA
Craspedia variabilis,F,H,NA
Craspedolobium schochii,C,NA,NA
Craspedorhachis africana,F,NA,NA
Craspedorhachis digitata,F,NA,NA
Craspedorhachis rhodesiana,F,NA,NA
Craspidospermum verticillatum,F,W,NA
Crassocephalum coeruleum,F,NA,NA
Crassocephalum crepidioides,F,H,NA
Crassocephalum lemuricum,C,NA,NA
Crassocephalum manampanihense,F,NA,NA
Crassocephalum montuosum,F,NA,NA
Crassocephalum rubens,F,NA,NA
Crassula acinaciformis,F,NA,NA
Crassula alata,F,NA,NA
Crassula alba,F,NA,NA
Crassula alcicornis,F,NA,NA
Crassula alpestris,F,NA,NA
Crassula alstonii,F,NA,NA
Crassula alticola,F,NA,NA
Crassula ammophila,F,NA,NA
Crassula ankaratrensis,F,NA,NA
Crassula aphylla,F,NA,NA
Crassula aquatica,A,NA,NA
Crassula arborescens,F,NA,NA
Crassula atropurpurea,F,NA,NA
Crassula aurusbergensis,F,NA,NA
Crassula ausensis,F,NA,NA
Crassula badspoortensis,F,NA,NA
Crassula barbata,F,NA,NA
Crassula barklyi,F,NA,NA
Crassula basaltica,F,NA,NA
Crassula bergioides,F,NA,NA
Crassula biplanata,F,NA,NA
Crassula brachystachya,F,NA,NA
Crassula brevifolia,F,NA,NA
Crassula campestris,F,NA,NA
Crassula capensis,F,NA,NA
Crassula capitella,F,NA,NA
Crassula ciliata,F,NA,NA
Crassula clavata,F,NA,NA
Crassula closiana,F,NA,NA
Crassula coccinea,F,NA,NA
Crassula colorata,F,H,NA
Crassula columella,F,NA,NA
Crassula columnaris,F,NA,NA
Crassula compacta,F,NA,NA
Crassula congesta,F,NA,NA
Crassula connata,F,NA,NA
Crassula corallina,F,NA,NA
Crassula cordata,F,NA,NA
Crassula cordifolia,F,NA,NA
Crassula cotyledonis,F,NA,NA
Crassula cremnophila,F,NA,NA
Crassula crenulata,F,NA,NA
Crassula cultrata,F,NA,NA
Crassula cymbiformis,F,NA,NA
Crassula cymosa,F,NA,NA
