sp,support,plant.list.accepted
Artemisia maritima,F,TRUE
Artemisia michauxiana,F,TRUE
Artemisia minor,F,TRUE
Artemisia moorcroftiana,F,TRUE
Artemisia nilagirica,F,TRUE
Artemisia norvegica,F,TRUE
Artemisia packardiae,F,TRUE
Artemisia pattersonii,F,TRUE
Artemisia persica,F,TRUE
Artemisia porteri,F,TRUE
Artemisia roxburghiana,F,TRUE
Artemisia rupestris,F,TRUE
Artemisia rutifolia,F,TRUE
Artemisia salsoloides,F,TRUE
Artemisia santolinifolia,F,TRUE
Artemisia scoparia,F,TRUE
Artemisia scopulorum,F,TRUE
Artemisia senjavinensis,F,TRUE
Artemisia serrata,F,TRUE
Artemisia sieberi,F,TRUE
Artemisia sieversiana,F,TRUE
Artemisia sodiroi,F,TRUE
Artemisia stelleriana,F,TRUE
Artemisia stenocephala,F,TRUE
Artemisia stricta,F,TRUE
Artemisia suksdorfii,F,TRUE
Artemisia tilesii,F,TRUE
Artemisia tridentata,F,TRUE
Artemisia turanica,F,TRUE
Artemisia umbelliformis,F,TRUE
Artemisia vachanica,F,TRUE
Artemisia verlotiorum,F,TRUE
Artemisia vulgaris,F,TRUE
Artemisiopsis villosa,F,TRUE
Arthraerua leubnitziae,F,TRUE
Arthragrostis aristispicula,F,TRUE
Arthragrostis brassiana,F,FALSE
Arthragrostis clarksoniana,F,TRUE
Arthragrostis deschampsioides,F,TRUE
Arthraxon antsirabensis,F,TRUE
Arthraxon castratus,F,TRUE
Arthraxon cuspidatus,F,TRUE
Arthraxon depressus,F,TRUE
Arthraxon echinatus,F,TRUE
Arthraxon epectinatus,F,TRUE
Arthraxon hispidus,F,TRUE
Arthraxon inermis,F,TRUE
Arthraxon jubatus,F,TRUE
Arthraxon junnarensis,F,TRUE
Arthraxon lancifolius,F,TRUE
Arthraxon meeboldii,F,TRUE
Arthraxon microphyllus,F,TRUE
Arthraxon multinervis,F,TRUE
Arthraxon nudus,F,TRUE
Arthraxon prionodes,F,TRUE
Arthraxon raizadae,F,TRUE
Arthraxon santapaui,F,TRUE
Arthraxon submuticus,F,TRUE
Arthraxon typicus,F,TRUE
Arthraxon villosus,F,TRUE
Arthraxon viridis,F,FALSE
Arthrocereus glaziovii,F,TRUE
Arthrocereus melanurus,F,TRUE
Arthrocereus rondonianus,F,TRUE
Arthrocereus spinosissimus,F,TRUE
Arthrochilus apectus,F,TRUE
Arthrochilus aquilus,F,TRUE
Arthrochilus byrnesii,F,TRUE
Arthrochilus corinnae,F,TRUE
Arthrochilus dockrillii,F,TRUE
Arthrochilus huntianus,F,TRUE
Arthrochilus irritabilis,F,TRUE
Arthrochilus laevicallus,F,TRUE
Arthrochilus latipes,F,TRUE
Arthrochilus lavarackianus,F,TRUE
Arthrochilus oreophilus,F,TRUE
Arthrochilus prolixus,F,TRUE
Arthrochilus rosulatus,F,TRUE
Arthrochilus sabulosus,F,TRUE
Arthrochilus stenophyllus,F,TRUE
Arthrocnemum macrostachyum,F,TRUE
Arthrocnemum pachystachyum,F,FALSE
Arthromeris notholaenoides,E,FALSE
Arthropodium caesioides,F,TRUE
Arthropodium candidum,F,TRUE
Arthropodium cirrhatum,F,TRUE
Arthropodium curvipes,F,TRUE
Arthropodium dyeri,F,TRUE
Arthropodium milleflorum,F,TRUE
Arthropodium minus,F,TRUE
Arthropodium neocaledonicum,F,TRUE
Arthropogon filifolius,F,TRUE
Arthropogon piptostachyus,F,TRUE
Arthropogon villosus,F,TRUE
Arthropogon xerachne,F,TRUE
Arthropteris boutoniana,E,TRUE
Arthropteris monocarpa,E,TRUE
Arthropteris orientalis,E,TRUE
Arthropteris parallela,E,TRUE
Arthropteris paucivenia,E,FALSE
Arthropteris submarginalis,F,FALSE
Arthropteris tenella,F,TRUE
Arthrostemma alatum,F,TRUE
Arthrostemma ciliatum,F,TRUE
Arthrostemma parvifolium,F,TRUE
Arthrostemma primaevum,F,TRUE
Arthrostylidium angustifolium,C,TRUE
Arthrostylidium auriculatum,C,TRUE
Arthrostylidium banaoense,C,TRUE
Arthrostylidium berryi,C,TRUE
Arthrostylidium canaliculatum,C,TRUE
Arthrostylidium chiribiquetense,C,TRUE
Arthrostylidium cubense,C,TRUE
Arthrostylidium distichum,C,TRUE
Arthrostylidium ecuadorense,C,TRUE
Arthrostylidium ekmanii,C,TRUE
Arthrostylidium excelsum,C,TRUE
Arthrostylidium farctum,C,TRUE
Arthrostylidium fimbriatum,C,TRUE
Arthrostylidium fimbrinodum,C,TRUE
Arthrostylidium grandifolium,C,TRUE
Arthrostylidium haitiense,C,TRUE
Arthrostylidium judziewiczii,C,TRUE
Arthrostylidium longiflorum,C,TRUE
Arthrostylidium merostachyoides,C,TRUE
Arthrostylidium multispicatum,C,TRUE
Arthrostylidium obtusatum,C,TRUE
Arthrostylidium pubescens,C,TRUE
Arthrostylidium punctulatum,C,TRUE
Arthrostylidium reflexum,C,TRUE
Arthrostylidium sarmentosum,C,TRUE
Arthrostylidium scandens,C,TRUE
Arthrostylidium schomburgkii,C,TRUE
Arthrostylidium simpliciusculum,C,TRUE
Arthrostylidium urbanii,C,TRUE
Arthrostylidium venezuelae,C,TRUE
Arthrostylidium virolinense,C,TRUE
Arthrostylidium youngianum,C,TRUE
Arthrostylis aphylla,F,TRUE
Artia brachycarpa,C,TRUE
Artocarpus albobrunneus,F,TRUE
Artocarpus altilis,F,TRUE
Artocarpus altissimus,F,TRUE
Artocarpus anisophyllus,F,TRUE
Artocarpus annulatus,F,TRUE
Artocarpus blancoi,F,TRUE
Artocarpus bracteata,F,FALSE
Artocarpus brevipedunculatus,F,TRUE
Artocarpus camansi,F,TRUE
Artocarpus chama,F,TRUE
Artocarpus dadah,F,TRUE
Artocarpus elasticus,F,TRUE
Artocarpus excelsus,F,TRUE
Artocarpus fretessii,F,TRUE
Artocarpus fulvicortex,F,TRUE
Artocarpus glaucus,F,TRUE
Artocarpus gomezianus,F,TRUE
Artocarpus gongshanensis,F,TRUE
Artocarpus heterophyllus,F,TRUE
Artocarpus hirsutus,F,TRUE
Artocarpus hispidus,F,TRUE
Artocarpus hypargyreus,F,TRUE
Artocarpus integer,F,TRUE
Artocarpus kemando,F,TRUE
Artocarpus lacucha,F,TRUE
Artocarpus lanceaefolia,F,FALSE
Artocarpus lanceifolius,F,TRUE
Artocarpus longifolius,F,TRUE
Artocarpus lowii,F,TRUE
Artocarpus maingayi,F,TRUE
Artocarpus mariannensis,F,TRUE
Artocarpus nanchuanensis,F,TRUE
Artocarpus nigrifolius,F,TRUE
Artocarpus nitidus,F,TRUE
Artocarpus nobilis,F,TRUE
Artocarpus obtusus,F,TRUE
Artocarpus odoratissimus,F,TRUE
Artocarpus ovatus,F,TRUE
Artocarpus petelotii,F,TRUE
Artocarpus pithecogallus,F,TRUE
Artocarpus reticulatus,F,TRUE
Artocarpus rigidus,F,TRUE
Artocarpus rubrovenius,F,TRUE
Artocarpus sarawakensis,F,TRUE
Artocarpus scortechinii,F,TRUE
Artocarpus sepicanus,F,TRUE
Artocarpus sericicarpus,F,TRUE
Artocarpus styracifolius,F,TRUE
Artocarpus subrotundifolius,F,TRUE
Artocarpus tamaran,F,TRUE
Artocarpus teysmannii,F,TRUE
Artocarpus tomentosulus,F,TRUE
Artocarpus tonkinensis,F,TRUE
Artocarpus treculianus,F,TRUE
Artocarpus vriesianus,F,TRUE
Artocarpus xanthocarpus,F,TRUE
Artorima erubescens,E,TRUE
Arum alpinariae,F,TRUE
Arum apulum,F,TRUE
Arum balansanum,F,TRUE
Arum besserianum,F,TRUE
Arum byzantinum,F,TRUE
Arum concinnatum,F,TRUE
Arum creticum,F,TRUE
Arum cylindraceum,F,TRUE
Arum cyrenaicum,F,TRUE
Arum dioscoridis,F,TRUE
Arum elongatum,F,TRUE
Arum euxinum,F,TRUE
Arum gratum,F,TRUE
Arum hainesii,F,TRUE
Arum hygrophilum,F,TRUE
Arum idaeum,F,TRUE
Arum italicum,F,TRUE
Arum jacquemontii,F,TRUE
Arum korolkowii,F,TRUE
Arum lucanum,F,TRUE
Arum maculatum,F,TRUE
Arum megobrebi,F,TRUE
Arum nigrum,F,TRUE
Arum orientale,F,TRUE
Arum palaestinum,F,TRUE
Arum pictum,F,TRUE
Arum purpureospathum,F,TRUE
Arum rupicola,F,TRUE
Arum sintenisii,F,TRUE
Arum sooi,F,TRUE
Aruncus dioicus,F,TRUE
Aruncus gombalanus,F,TRUE
Arundina graminifolia,F,TRUE
Arundinaria bengalensis,F,FALSE
Arundinaria caudiceps,F,FALSE
Arundinaria faberi,F,TRUE
Arundinaria fansipanensis,F,FALSE
Arundinaria fargesii,F,TRUE
Arundinaria gigantea,F,TRUE
Arundinaria munsuensis,F,FALSE
Arundinaria pseudosasaoides,F,FALSE
Arundinaria qingchengshanensis,F,TRUE
Arundinaria racemosa,F,TRUE
Arundinaria shiobarensis,F,FALSE
Arundinaria spanostachya,F,TRUE
Arundinella barbinodis,F,TRUE
Arundinella bengalensis,F,TRUE
Arundinella berteroniana,F,TRUE
Arundinella birmanica,F,TRUE
Arundinella blephariphylla,F,TRUE
Arundinella cannanorica,F,TRUE
Arundinella ciliata,F,TRUE
Arundinella cochinchinensis,F,TRUE
Arundinella dagana,F,TRUE
Arundinella decempedalis,F,TRUE
Arundinella deppeana,F,TRUE
Arundinella flavida,F,TRUE
Arundinella fluviatilis,F,TRUE
Arundinella furva,F,TRUE
Arundinella goeringii,F,TRUE
Arundinella grandiflora,F,TRUE
Arundinella grevillensis,F,TRUE
Arundinella hirta,F,TRUE
Arundinella hispida,F,TRUE
Arundinella holcoides,F,TRUE
Arundinella hookeri,F,TRUE
Arundinella intricata,F,TRUE
Arundinella khasiana,F,TRUE
Arundinella laxiflora,F,TRUE
Arundinella leptochloa,F,TRUE
Arundinella longispicata,F,TRUE
Arundinella mesophylla,F,TRUE
Arundinella metzii,F,TRUE
Arundinella montana,F,TRUE
Arundinella nepalensis,F,TRUE
Arundinella nervosa,F,TRUE
Arundinella nodosa,F,TRUE
Arundinella parviflora,F,TRUE
Arundinella pubescens,F,TRUE
Arundinella pumila,F,TRUE
Arundinella purpurea,F,TRUE
Arundinella ravii,F,TRUE
Arundinella rupestris,F,TRUE
Arundinella setosa,F,TRUE
Arundinella spicata,F,TRUE
Arundinella suniana,F,TRUE
Arundinella thwaitesii,F,TRUE
Arundinella tricholepis,F,TRUE
Arundinella tuberculata,F,TRUE
Arundinella vaginata,F,TRUE
Arundinella villosa,F,TRUE
Arundinella yunnanensis,F,TRUE
Arundo formosana,F,TRUE
Arundo plinii,F,TRUE
Arundoclaytonia dissimilis,F,TRUE
Arytera bifoliolata,F,TRUE
Arytera brackenridgei,F,TRUE
Arytera dictyoneura,F,TRUE
Arytera distylis,F,TRUE
Arytera divaricata,F,TRUE
Arytera foveolata,F,TRUE
Arytera lautereriana,F,TRUE
Arytera littoralis,F,TRUE
Arytera macrobotrys,F,FALSE
Arytera microphylla,F,TRUE
Arytera pauciflora,F,TRUE
Asarina stricta,C,FALSE
Asarum cordifolium,C,TRUE
Asarum europaeum,F,TRUE
Ascarina coursii,F,TRUE
Ascarina philippinensis,F,TRUE
Aschersoniodoxa mandoniana,F,TRUE
Ascidieria caricifolia,E,TRUE
Ascidieria cymbidifolia,E,TRUE
Ascidieria longifolia,E,TRUE
Ascidieria maculiflora,E,TRUE
Ascidieria palawanensis,E,TRUE
Ascidieria pseudocymbiformis,E,TRUE
Ascidieria zamboangensis,E,TRUE
Ascidiogyne sanchezvegae,F,TRUE
Ascidiogyne wurdackii,F,TRUE
Asclepias adscendens,F,TRUE
Asclepias aequicornu,F,TRUE
Asclepias albens,F,TRUE
Asclepias amplexicaulis,F,TRUE
Asclepias aurea,F,TRUE
Asclepias bicuspis,F,TRUE
Asclepias brevicuspis,F,TRUE
Asclepias brevipes,F,TRUE
Asclepias candida,F,TRUE
Asclepias compressidens,F,TRUE
Asclepias concinna,F,TRUE
Asclepias cooperi,F,TRUE
Asclepias crassinervis,F,TRUE
Asclepias crispa,F,TRUE
Asclepias cucullata,F,TRUE
Asclepias cultriformis,F,TRUE
Asclepias curassavica,F,TRUE
Asclepias densiflora,F,TRUE
Asclepias disparilis,F,TRUE
Asclepias dissona,F,TRUE
Asclepias ditasa,C,FALSE
Asclepias eminens,F,TRUE
Asclepias expansa,F,TRUE
Asclepias fallax,F,TRUE
Asclepias flanaganii,F,TRUE
Asclepias flexuosa,F,TRUE
Asclepias gibba,F,TRUE
Asclepias gordon-grayae,F,TRUE
Asclepias humilis,F,TRUE
Asclepias macropus,F,TRUE
Asclepias meliodora,F,TRUE
Asclepias mellodora,F,TRUE
Asclepias meyeriana,F,TRUE
Asclepias monticola,F,TRUE
Asclepias multicaulis,F,FALSE
Asclepias nana,F,TRUE
Asclepias navicularis,F,TRUE
Asclepias oreophila,F,TRUE
Asclepias patens,F,TRUE
Asclepias peltigera,F,TRUE
Asclepias praemorsa,F,TRUE
Asclepias randii,F,TRUE
Asclepias rara,F,TRUE
Asclepias schlechteri,F,TRUE
Asclepias stellifera,F,TRUE
Asclepias ulophylla,F,TRUE
Asclepias velutina,F,TRUE
Asclepias vicaria,F,TRUE
Asclepias woodii,F,TRUE
Ascolepis capensis,F,TRUE
Ascolepis densa,F,TRUE
Ascolepis eriocauloides,F,TRUE
Ascolepis fibrillosa,F,TRUE
Ascolepis majestuosa,F,TRUE
Ascolepis menonguensis,F,TRUE
Ascolepis neglecta,F,TRUE
Ascolepis speciosa,F,TRUE
Ascolepis spinulosa,F,TRUE
Ascolepis trigona,F,TRUE
Asepalum eriantherum,P,TRUE
Asimina angustifolia,F,TRUE
Asimina incana,F,TRUE
Asimina obovata,F,TRUE
Asimina parviflora,F,TRUE
Asimina pygmaea,F,TRUE
Asimina reticulata,F,TRUE
Asimina tetramera,F,TRUE
Asimina triloba,F,TRUE
Askellia elegans,F,TRUE
Askellia pygmaea,F,TRUE
Askidiosperma alboaristatum,F,TRUE
Askidiosperma alticola,F,TRUE
Askidiosperma andreaeanum,F,TRUE
Askidiosperma capitatum,F,TRUE
Askidiosperma chartaceum,F,TRUE
Askidiosperma delicatulum,F,TRUE
Askidiosperma esterhuyseniae,F,TRUE
Askidiosperma insigne,F,TRUE
Askidiosperma longiflorum,F,TRUE
Askidiosperma nitidum,F,TRUE
Askidiosperma paniculatum,F,TRUE
Askidiosperma rugosum,F,TRUE
Aspalathus acutiflora,F,TRUE
Aspalathus joubertiana,F,TRUE
Aspalathus lotiflora,F,TRUE
Aspalathus myrtillifolia,F,TRUE
Aspalathus opaca,F,TRUE
Aspalathus quinquefolia,F,TRUE
Aspalathus theresae,F,FALSE
Asparagus acicularis,C,TRUE
Asparagus acocksii,F,TRUE
Asparagus acutifolius,C,TRUE
Asparagus adscendens,F,TRUE
Asparagus africanus,C,TRUE
Asparagus aggregatus,F,TRUE
Asparagus alopecurus,F,TRUE
Asparagus angusticladus,C,TRUE
Asparagus aphyllus,C,TRUE
Asparagus asparagoides,C,TRUE
Asparagus aspergillus,F,TRUE
Asparagus bayeri,F,TRUE
Asparagus biflorus,F,TRUE
Asparagus brachyphyllus,C,TRUE
Asparagus breslerianus,C,TRUE
Asparagus buchananii,C,TRUE
Asparagus burchellii,F,TRUE
Asparagus capensis,E,TRUE
Asparagus capitatus,F,TRUE
Asparagus clareae,C,TRUE
Asparagus cochinchinensis,C,TRUE
Asparagus coddii,F,TRUE
Asparagus concinnus,F,TRUE
Asparagus confertus,F,TRUE
Asparagus crassicladus,F,TRUE
Asparagus densiflorus,F,TRUE
Asparagus denudatus,F,TRUE
Asparagus devenishii,F,TRUE
Asparagus divaricatus,F,TRUE
Asparagus dumosus,F,TRUE
Asparagus edulis,F,TRUE
Asparagus elephantinus,F,TRUE
Asparagus exsertus,F,TRUE
Asparagus exuvialis,F,TRUE
Asparagus falcatus,C,TRUE
Asparagus fasciculatus,C,TRUE
Asparagus filicinus,F,TRUE
Asparagus flagellaris,C,TRUE
Asparagus flavicaulis,F,TRUE
Asparagus fouriei,F,TRUE
Asparagus fysonii,F,TRUE
Asparagus gharoensis,F,TRUE
Asparagus glaucus,F,TRUE
Asparagus gonoclados,C,TRUE
Asparagus graniticus,F,TRUE
Asparagus hirsutus,F,TRUE
Asparagus intricatus,F,TRUE
Asparagus juniperoides,F,TRUE
Asparagus kraussianus,C,TRUE
Asparagus krebsianus,F,TRUE
Asparagus laricinus,F,TRUE
Asparagus lignosus,F,TRUE
Asparagus longicladus,F,TRUE
Asparagus macowanii,F,TRUE
Asparagus mariae,F,TRUE
Asparagus microraphis,F,TRUE
Asparagus minutiflorus,F,TRUE
Asparagus monophyllus,F,TRUE
Asparagus mucronatus,F,TRUE
Asparagus multituberosus,C,TRUE
Asparagus munitus,C,TRUE
Asparagus myriacanthus,C,TRUE
Asparagus natalensis,C,TRUE
Asparagus neglectus,F,TRUE
Asparagus nelsii,F,TRUE
Asparagus nodulosus,F,TRUE
Asparagus oliveri,F,TRUE
Asparagus ovatus,C,TRUE
Asparagus oxyacanthus,F,TRUE
Asparagus palaestinus,C,TRUE
Asparagus pendulus,F,TRUE
Asparagus persicus,F,TRUE
Asparagus psilurus,F,TRUE
Asparagus racemosus,C,TRUE
Asparagus ramosissimus,C,TRUE
Asparagus recurvispinus,F,TRUE
Asparagus retrofractus,C,TRUE
Asparagus rigidus,F,TRUE
Asparagus scandens,C,TRUE
Asparagus schroederi,F,TRUE
Asparagus schumanianus,C,TRUE
Asparagus sekukuniensis,F,TRUE
Asparagus setaceus,C,TRUE
Asparagus sichuanicus,C,TRUE
Asparagus spinescens,F,TRUE
Asparagus stellatus,F,TRUE
Asparagus stipulaceus,F,TRUE
Asparagus striatus,F,TRUE
Asparagus suaveolens,F,TRUE
Asparagus subscandens,C,TRUE
Asparagus subulatus,F,TRUE
Asparagus sylvicola,F,TRUE
Asparagus taliensis,C,TRUE
Asparagus tamariscinus,C,TRUE
Asparagus transvaalensis,F,TRUE
Asparagus trichoclados,C,TRUE
Asparagus umbellulatus,C,TRUE
Asparagus undulatus,F,TRUE
Asparagus vaginellatus,C,TRUE
Asparagus virgatus,F,TRUE
Asparagus volubilis,C,TRUE
Asparagus warneckei,C,TRUE
Asparagus yanyuanensis,C,TRUE
Aspasia epidendroides,E,TRUE
Aspasia lunata,E,TRUE
Aspasia principissa,E,TRUE
Aspasia psittacina,E,TRUE
Aspasia silvana,E,TRUE
Aspasia variegata,E,TRUE
Asperuginoides axillaris,F,TRUE
Asperugo procumbens,F,TRUE
Asperula aristata,F,TRUE
Asperula arvensis,F,TRUE
Asperula asthenes,F,TRUE
Asperula charophyton,F,TRUE
Asperula conferta,F,TRUE
Asperula cynanchica,F,TRUE
Asperula euryphylla,F,TRUE
Asperula glomerata,F,TRUE
Asperula gunnii,F,TRUE
Asperula idaea,F,TRUE
Asperula oppositifolia,F,TRUE
Asperula pubescens,F,TRUE
Asperula pusilla,F,TRUE
Asperula rigida,F,TRUE
Asperula scoparia,F,TRUE
Asperula setosa,F,TRUE
Asperula subulifolia,F,TRUE
Asphodeline baytopiae,F,TRUE
Asphodeline brevicaulis,F,TRUE
Asphodeline globifera,F,TRUE
Asphodeline liburnica,F,TRUE
Asphodeline lutea,F,TRUE
Asphodeline recurva,F,TRUE
Asphodeline taurica,F,TRUE
Asphodeline tenuior,F,TRUE
Asphodelus aestivus,F,TRUE
Asphodelus albus,F,TRUE
Asphodelus bakeri,F,TRUE
Asphodelus bento-rainhae,F,TRUE
Asphodelus cerasiferus,F,TRUE
Asphodelus fistulosus,F,TRUE
Asphodelus gracilis,F,TRUE
Asphodelus lusitanicus,F,TRUE
Asphodelus macrocarpus,F,TRUE
Asphodelus ramosus,F,TRUE
Asphodelus serotinus,F,TRUE
Asphodelus tenuifolius,F,TRUE
Aspidistra acetabuliformis,F,TRUE
Aspidistra alata,F,TRUE
Aspidistra albiflora,F,TRUE
Aspidistra alternativa,F,TRUE
Aspidistra arnautovii,F,TRUE
Aspidistra atroviolacea,F,TRUE
Aspidistra austrosinensis,F,TRUE
Aspidistra basalis,F,FALSE
Aspidistra bicolor,F,TRUE
Aspidistra bogneri,F,TRUE
Aspidistra brachystyla,F,TRUE
Aspidistra caespitosa,F,TRUE
Aspidistra campanulata,F,TRUE
Aspidistra carinata,F,TRUE
Aspidistra carnosa,F,TRUE
Aspidistra cavicola,F,TRUE
Aspidistra cerina,F,TRUE
Aspidistra chishuiensis,F,TRUE
Aspidistra claviformis,F,TRUE
Aspidistra coccigera,F,FALSE
Aspidistra columellaris,F,FALSE
Aspidistra connata,F,TRUE
Aspidistra cruciformis,F,TRUE
Aspidistra cryptantha,F,TRUE
Aspidistra cyathiflora,F,TRUE
Aspidistra daibuensis,F,TRUE
Aspidistra dodecandra,F,TRUE
Aspidistra dolichanthera,F,TRUE
Aspidistra ebianensis,F,TRUE
Aspidistra elatior,F,TRUE
Aspidistra erecta,F,TRUE
Aspidistra fasciaria,F,TRUE
Aspidistra fenghuangensis,F,TRUE
Aspidistra fimbriata,F,TRUE
Aspidistra flaviflora,F,TRUE
Aspidistra foliosa,F,TRUE
Aspidistra fungilliformis,F,TRUE
Aspidistra geastrum,F,TRUE
Aspidistra glandulosa,F,TRUE
Aspidistra gracilis,F,FALSE
Aspidistra grandiflora,F,TRUE
Aspidistra hekouensis,F,TRUE
Aspidistra huanjiangensis,F,TRUE
Aspidistra insularis,F,TRUE
Aspidistra lateralis,F,TRUE
Aspidistra leshanensis,F,TRUE
Aspidistra leyeensis,F,TRUE
Aspidistra liboensis,F,TRUE
Aspidistra linearifolia,F,TRUE
Aspidistra lobata,F,TRUE
Aspidistra locii,F,TRUE
Aspidistra longanensis,F,TRUE
Aspidistra longifolia,F,TRUE
Aspidistra longiloba,F,TRUE
Aspidistra longipedunculata,F,TRUE
Aspidistra longipetala,F,TRUE
Aspidistra luodianensis,F,TRUE
Aspidistra lurida,F,TRUE
Aspidistra lutea,F,TRUE
Aspidistra marasmioides,F,TRUE
Aspidistra marginella,F,TRUE
Aspidistra minutiflora,F,TRUE
Aspidistra molendinacea,F,TRUE
Aspidistra muricata,F,TRUE
Aspidistra mushaensis,F,TRUE
Aspidistra nanchuanensis,F,TRUE
Aspidistra nikolaii,F,TRUE
Aspidistra obconica,F,TRUE
Aspidistra oblanceifolia,F,TRUE
Aspidistra obliquipeltata,F,TRUE
Aspidistra oblongifolia,F,TRUE
Aspidistra omeiensis,F,TRUE
Aspidistra opaca,F,TRUE
Aspidistra papillata,F,TRUE
Aspidistra patentiloba,F,TRUE
Aspidistra petiolata,F,TRUE
Aspidistra pileata,F,TRUE
Aspidistra pingtangensis,F,TRUE
Aspidistra punctata,F,TRUE
Aspidistra punctatoides,F,TRUE
Aspidistra quadripartita,F,TRUE
Aspidistra recondita,F,TRUE
Aspidistra renatae,F,TRUE
Aspidistra retusa,F,TRUE
Aspidistra saxicola,F,TRUE
Aspidistra sichuanensis,F,TRUE
Aspidistra spinula,F,TRUE
Aspidistra stricta,F,TRUE
Aspidistra subrotata,F,TRUE
Aspidistra superba,F,TRUE
Aspidistra sutepensis,F,TRUE
Aspidistra tonkinensis,F,TRUE
Aspidistra triloba,F,TRUE
Aspidistra tubiflora,F,TRUE
Aspidistra typica,F,TRUE
Aspidistra umbrosa,F,TRUE
Aspidistra urceolata,F,TRUE
Aspidistra xilinensis,F,TRUE
Aspidistra zongbayi,F,TRUE
Aspidocarya uvifera,C,TRUE
Aspidoglossum araneiferum,F,TRUE
Aspidoglossum biflorum,F,TRUE
Aspidoglossum carinatum,F,TRUE
Aspidoglossum delagoense,F,TRUE
Aspidoglossum demissum,F,TRUE
Aspidoglossum difficile,F,TRUE
Aspidoglossum dissimile,F,TRUE
Aspidoglossum fasciculare,F,TRUE
Aspidoglossum flanaganii,F,TRUE
Aspidoglossum glabrescens,F,TRUE
Aspidoglossum glanduliferum,F,TRUE
Aspidoglossum gracile,F,TRUE
Aspidoglossum grandiflorum,F,TRUE
Aspidoglossum heterophyllum,F,TRUE
Aspidoglossum interruptum,F,TRUE
Aspidoglossum lamellatum,F,TRUE
Aspidoglossum masaicum,F,TRUE
Aspidoglossum ovalifolium,F,TRUE
Aspidoglossum restioides,F,TRUE
Aspidoglossum uncinatum,F,TRUE
Aspidoglossum validum,F,TRUE
Aspidoglossum virgatum,F,TRUE
Aspidoglossum woodii,F,TRUE
Aspidoglossum xanthosphaerum,F,TRUE
Aspidogyne argentea,F,TRUE
Aspidogyne bidentifera,F,TRUE
Aspidogyne boliviensis,F,TRUE
Aspidogyne brachyrrhyncha,F,TRUE
Aspidogyne bruxelii,F,TRUE
Aspidogyne carauchana,F,TRUE
Aspidogyne chocoensis,F,TRUE
Aspidogyne commelinoides,F,TRUE
Aspidogyne costaricensis,F,TRUE
Aspidogyne cruciformis,F,TRUE
Aspidogyne decora,F,TRUE
Aspidogyne fimbrillaris,E,TRUE
Aspidogyne gigantea,F,TRUE
Aspidogyne goaltalensis,F,TRUE
Aspidogyne grandis,F,TRUE
Aspidogyne grayumii,F,TRUE
Aspidogyne harlingii,F,TRUE
Aspidogyne herzogii,F,TRUE
Aspidogyne hylibates,F,TRUE
Aspidogyne hyphaematica,F,TRUE
Aspidogyne kuczynskii,F,TRUE
Aspidogyne lindleyana,F,TRUE
Aspidogyne longibracteata,F,TRUE
Aspidogyne longicornu,F,TRUE
Aspidogyne malmei,F,TRUE
Aspidogyne mendoncae,F,TRUE
Aspidogyne metallescens,F,TRUE
Aspidogyne misera,F,TRUE
Aspidogyne mosaica,F,TRUE
Aspidogyne mystacina,F,TRUE
Aspidogyne popayanensis,F,TRUE
Aspidogyne pumila,F,TRUE
Aspidogyne rariflora,F,TRUE
Aspidogyne repens,F,TRUE
Aspidogyne robusta,F,TRUE
Aspidogyne roseoalba,F,TRUE
Aspidogyne rotundifolia,F,TRUE
Aspidogyne steyermarkii,F,TRUE
Aspidogyne stictophylla,F,TRUE
Aspidogyne sumacoensis,F,TRUE
Aspidogyne tuerckheimii,F,TRUE
Aspidogyne utriculata,F,TRUE
Aspidogyne vesiculosa,F,TRUE
Aspidogyne zonata,F,TRUE
Aspidonepsis cognata,F,TRUE
Aspidonepsis diploglossa,F,TRUE
Aspidonepsis flava,F,TRUE
Aspidonepsis reenensis,F,TRUE
Aspidonepsis shebae,F,TRUE
Aspidopterys canarensis,C,TRUE
Aspidopterys cavaleriei,C,TRUE
Aspidopterys concava,C,TRUE
Aspidopterys cordata,C,TRUE
Aspidopterys esquirolii,C,TRUE
Aspidopterys glabriuscula,C,TRUE
Aspidopterys henryi,C,TRUE
Aspidopterys hirsuta,C,TRUE
Aspidopterys indica,C,TRUE
Aspidopterys microcarpa,C,TRUE
Aspidopterys nutans,C,TRUE
Aspidopterys tomentosa,C,TRUE
Aspidosperma album,F,TRUE
Aspidosperma araracanga,F,TRUE
Aspidosperma auriculatum,F,TRUE
Aspidosperma australe,F,TRUE
Aspidosperma camporum,F,TRUE
Aspidosperma capitatum,F,TRUE
Aspidosperma carapanauba,F,TRUE
Aspidosperma cuspa,F,TRUE
Aspidosperma cylindrocarpon,F,TRUE
Aspidosperma darienense,F,TRUE
Aspidosperma decussatum,F,TRUE
Aspidosperma desmanthum,F,TRUE
Aspidosperma discolor,F,TRUE
Aspidosperma dispermum,F,TRUE
Aspidosperma eburneum,F,TRUE
Aspidosperma eteanum,F,TRUE
Aspidosperma excelsum,F,TRUE
Aspidosperma fendleri,F,TRUE
Aspidosperma formosanum,F,TRUE
Aspidosperma gehrtii,F,TRUE
Aspidosperma glaucum,F,TRUE
Aspidosperma helstonei,F,TRUE
Aspidosperma illustre,F,TRUE
Aspidosperma inundatum,F,TRUE
Aspidosperma leucocymosum,F,TRUE
Aspidosperma limae,F,TRUE
Aspidosperma macrocarpon,F,TRUE
