Species,NFC,Legume,Order,Family,Data_fixing,Source,Source2,Data_corrected,Species_corrected,Analysed_Werner_etal.
Alnus japonica,Yes,No,Fagales,Betulaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Alnus jorullensis,Yes,No,Fagales,Betulaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Elaeagnus macrophylla,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Elaeagnus angustifolia,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Hippophae rhamnoides,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Hippophae salicifolia,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Shepherdia canadensis,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Shepherdia argentea,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Ceanothus velutinus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Ceanothus prostratus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Discaria toumaton,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Trema cannabina,Yes,No,Rosales,Cannabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Vigna unguiculata,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Macroptilium atropurpureum,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Macroptilium lathyroides,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Trifolium alexandrinum,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Arachis hypogaea,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Phaseolus vulgaris,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Gymnostoma rumphianum,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Myrica rubra,Yes,No,Fagales,Myricaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Not_analysed
Alnus rubra,Yes,No,Fagales,Betulaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Lupinus angustifolius,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Alnus serrulata,Yes,No,Fagales,Betulaceae,Yes,Manual,Becking_1975,No_correction,No_correction,Analysed
Alnus firma,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,Species_name_corrected,Analysed
Alnus formosana,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Alnus nitida,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Alnus cordata,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Alnus pendula,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,Species_name_corrected,Analysed
Alnus sieboldiana,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,Species_name_corrected,Analysed
Alnus hirsuta,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Alnus maritima,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Alnus nepalensis,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Alnus orientalis,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Alnus inokumai,Yes,No,Fagales,Betulaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus intermedius,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus americanus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus glaber,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus azureus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus fendleri,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus microphyllus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus ovatus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus foliosus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus rigidus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus thyrsiflorus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus cordulatus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus diversifolius,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus fresnensis,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus impressus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus integerrimus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus parvifolius,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus crassifolius,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus greggii,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus oliganthus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus leucodermis,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus sanguineus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus cuneatus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus gloriosus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus griseus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus incanus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Ceanothus jepsonii,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Ceanothus sorediatus,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Elaeagnus pungens,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Elaeagnus argentea,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Elaeagnus multiflora,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Elaeagnus umbellata,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Elaeagnus commutata,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Myrica esculenta,Yes,No,Fagales,Myricaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Myrica adenophora,Yes,No,Fagales,Myricaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Morella pubescens,Yes,No,Fagales,Myricaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Morella serrata,Yes,No,Fagales,Myricaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Casuarina muricata,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Casuarina quadrivalvis,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Casuarina glauca,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Casuarina stricta,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Allocasuarina fraseriana,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Gymnostoma sumatranum,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Casuarina tenuissima,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Casuarina triangularis,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Allocasuarina huegeliana,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Gymnostoma nodiflorum,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Coriaria intermedia,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Coriaria plumosa,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Coriaria pteridoides,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Coriaria angustissima,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Coriaria kingiana,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Coriaria lurida,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Coriaria pottsiana,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Not_analysed
Coriaria sarmentosa,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Coriaria ruscifolia,Yes,No,Cucurbitales,Coriariaceae,Yes,Manual,Rodriguez-Barrueco_1969,No_correction,No_correction,Analysed
Dryas integrifolia,Yes,No,Rosales,Rosaceae,No,Manual,Markham_2009,No_correction,No_correction,Analysed
Alnus fauriei,Yes,No,Fagales,Betulaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Analysed
Alnus matsumurae,Yes,No,Fagales,Betulaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Analysed
Alnus maximowiczii,Yes,No,Fagales,Betulaceae,Yes,Manual,Uemura_1971,No_correction,Species_name_corrected,Analysed
Alnus mairei,Yes,No,Fagales,Betulaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Not_analysed
Alnus serrulatoides,Yes,No,Fagales,Betulaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Not_analysed
Alnus trabeculosa,Yes,No,Fagales,Betulaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Analysed
Elaeagnus glabra,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Not_analysed
Elaeagnus matsunoana,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Not_analysed
Elaeagnus murakamiana,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Not_analysed
Elaeagnus yoshinoi,Yes,No,Rosales,Elaeagnaceae,Yes,Manual,Uemura_1971,No_correction,No_correction,Not_analysed
Allocasuarina verticillata,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Swensen_1996,No_correction,No_correction,Analysed
Casuarina litorea,Yes,No,Fagales,Casuarinaceae,Yes,Manual,Swensen_1996,No_correction,No_correction,Not_analysed
Cercocarpus ledifolius,Yes,No,Rosales,Rosaceae,Yes,Manual,Swensen_1996,No_correction,No_correction,Analysed
Colletia ulicina,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Swensen_1996,No_correction,No_correction,Analysed
Purshia stansburiana,Yes,No,Rosales,Rosaceae,Yes,Manual,Swensen_1996,No_correction,No_correction,Not_analysed
Discaria chacaye,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Swensen_1996,No_correction,No_correction,Analysed
Parasponia rigida,Yes,No,Rosales,Cannabaceae,Yes,Manual,Swensen_1996,No_correction,Species_name_corrected,Analysed
Retanilla trinervia,Yes,No,Rosales,Rhamnaceae,Yes,Manual,Swensen_1996,No_correction,No_correction,Analysed
Chamaecrista adiantifolia,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Chamaecrista apoucouita,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Dicymbe altsonii,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Eperua falcata,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Eperua grandiflora,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Eperua rubiginosa,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Hymenaea courbaril,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Mora excelsa,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Mora gonggrijpii,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Vouacapoua macropetala,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Abarema jupunba,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Analysed
Albizia pedicellaris,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Parkia nitida,Yes,Yes,Fabales,Fabaceae,No,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Pentaclethra macroloba,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Analysed
Clathrotropis macrocarpa,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Dioclea elliptica,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Diplotropis purpurea,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Analysed
Ormosia coccinea,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Analysed
Ormosia coutinhoi,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Pterocarpus officinalis,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Analysed
Swartzia jenmanii,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Swartzia schomburgkii,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Swartzia leiocalycina,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Analysed
Swartzia oblanceolata,Yes,Yes,Fabales,Fabaceae,Yes,Manual,Pons_2007,No_correction,No_correction,Analysed
Aspidosperma excelsum,No,No,Gentianales,Apocynaceae,No,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Catostemma fragrans,No,No,Malvales,Malvaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Licania buxifolia,No,No,Malpighiales,Chrysobalanaceae,No,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Tovomita grata,No,No,Malpighiales,Clusiaceae,No,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Chlorocardium rodiei,No,No,Laurales,Lauraceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Eschweilera sagotiana,No,No,Ericales,Lecythidaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Carapa guianensis,No,No,Sapindales,Meliaceae,No,Manual,Pons_2007,No_correction,No_correction,Analysed
Talisia squarrosa,No,No,Sapindales,Sapindaceae,No,Manual,Pons_2007,No_correction,No_correction,Not_analysed
Batesia floribunda,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Bauhinia cupreonitens,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Bauhinia guianensis,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Bauhinia longicuspis,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Bauhinia ungulata,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Campsiandra comosa,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Cassia fastuosa,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Cassia leiandra,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Cassia spruceana,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Chamaecrista desvauxii,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Chamaecrista flexuosa,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Chamaecrista negrensis,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Chamaecrista nictitans,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Chamaecrista viscosa,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Crudia amazonica,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Crudia oblonga,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Cynometra spruceana,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Dialium guianense,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Dimorphandra campinarum,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Dimorphandra macrostachya,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Dimorphandra parviflora,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Eperua bijuga,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Eperua duckeana,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Heterostemon mimosoides,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Hymenaea intermedia,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Hymenaea parvifolia,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Macrolobium acaciifolium,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Macrolobium angustifolium,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Macrolobium bifolium,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Macrolobium campestre,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Macrolobium huberianum,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Macrolobium multijugum,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Macrolobium pendulum,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Macrolobium punctatum,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Macrolobium suaveolens,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Martiodendron elatum,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Peltogyne catingae,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Peltogyne venosa,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Senna chrysocarpa,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Senna latifolia,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Senna multijuga,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Senna occidentalis,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Senna pendula,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Senna quinquangulata,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,Data_corrected,No_correction,Not_analysed
Senna reticulata,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Senna silvestris,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Senna tapajozensis,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Tachigali macrostachya,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Tachigali micropetala,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Tachigali paniculata,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Analysed
Tachigali paraensis,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Tachigali vulgaris,Yes,Yes,Fabales,Fabaceae,Yes,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
Vouacapoua americana,Yes,Yes,Fabales,Fabaceae,No,Manual,De_Faria_2010,No_correction,No_correction,Not_analysed
