sp,support,source
Chamaedorea elatior,F,eMonocot
Scleria secans,F,eMonocot
Ischnosiphon longiflorus,F,eMonocot
Rhynchanthus johnianus,F,eMonocot
Rhynchanthus bluthianus,F,eMonocot
Ischnosiphon gracilis,F,eMonocot
Ischnosiphon longiflorus,F,eMonocot
Ischnosiphon puberulus,F,eMonocot
Ischnosiphon gracilis,F,eMonocot
Ischnosiphon gracilis,F,eMonocot
Ischnosiphon longiflorus,F,eMonocot
Rhynchanthus beesianus,F,eMonocot
Rhynchanthus longiflorus,F,eMonocot
Hedychium bordelonianum,F,eMonocot
Burbidgea longiflora,F,eMonocot
Burbidgea pauciflora,F,eMonocot
Burbidgea nitida,F,eMonocot
Burbidgea stenantha,F,eMonocot
Burbidgea schizocheila,F,eMonocot
Hypselodelphys scandens,F,eMonocot
Hypselodelphys poggeana,F,eMonocot
Hypselodelphys scandens,C,eMonocot
Hypselodelphys poggeana,C,eMonocot
Ficus benjamina,F,TRY
Ficus retusa,F,TRY
Weinmannia trichosperma,F,TRY
Parthenocissus tricuspidata,F,TRY
Alangium salviifolium,F,TRY
Forsteronia mollis,F,TRY
Schefflera actinophylla,F,TRY
Oreopanax capitatus,F,TRY
Schefflera abyssinica,F,TRY
Schefflera actinophylla,F,TRY
Amphilophium granulosum,F,TRY
Capparis fascicularis,F,TRY
Coussapoa asperifolia,F,TRY
Coussapoa orthoneura,F,TRY
Coussapoa ovalifolia,F,TRY
Coussapoa villosa,F,TRY
Coussapoa trinervia,F,TRY
Coussapoa villosa,F,TRY
Cheiloclinium cognatum,F,TRY
Prionostemma aspera,F,TRY
Salacia elliptica,F,TRY
Salacia gigantea,F,TRY
Salacia macrantha,F,TRY
Clusia major,F,TRY
Clusia amazonica,F,TRY
Clusia elliptica,F,TRY
Clusia havetioides,F,TRY
Clusia insignis,F,TRY
Clusia rosea,F,TRY
Moronobea coccinea,F,TRY
Combretum latifolium,F,TRY
Rourea amazonica,F,TRY
Rourea minor,F,TRY
Dichapetalum angolense,F,TRY
Dichapetalum axillare,F,TRY
Davilla rugosa,F,TRY
Acacia altiscandens,F,TRY
Acacia articulata,F,TRY
Acacia kraussiana,F,TRY
Acacia tenuifolia,F,TRY
Acacia loretensis,F,TRY
Bauhinia galpinii,F,TRY
Bauhinia galpinii,F,TRY
Bauhinia scandens,F,TRY
Bauhinia scandens,F,TRY
Centrosema bracteosum,F,TRY
Dalbergia gracilis,F,TRY
Dalbergia riparia,F,TRY
Dalbergia frutescens,F,TRY
Dalbergia frutescens,F,TRY
Dalbergia lactea,F,TRY
Dioclea megacarpa,F,TRY
Machaerium floribundum,F,TRY
Machaerium multifoliolatum,F,TRY
Griselinia littoralis,F,TRY
Allantoma decandra,F,TRY
Strychnos toxifera,F,TRY
Blakea trinervia,F,TRY
Ficus casapiensis,F,TRY
Ficus castellviana,F,TRY
Ficus cuatrecasasiana,F,TRY
Ficus donnell-smithii,F,TRY
Ficus trigona,F,TRY
Ficus lauretana,F,TRY
Ficus ursina,F,TRY
Ficus ypsilophlebia,F,TRY
Ficus altissima,F,TRY
Ficus artocarpoides,F,TRY
Ficus bussei,F,TRY
Ficus craterostoma,F,TRY
Ficus coerulescens,F,TRY
Ficus lutea,F,TRY
Ficus natalensis,F,TRY
Ficus laurifolia,F,TRY
Ficus sphenophylla,F,TRY
Ficus trigona,F,TRY
Ficus rumphii,F,TRY
Ficus benghalensis,F,TRY
Ficus macrophylla,F,TRY
Ficus racemosa,F,TRY
Ficus superba,F,TRY
Ficus aurea,F,TRY
Ficus auriculata,F,TRY
Ficus boliviana,F,TRY
Ficus bullenei,F,TRY
Ficus elastica,F,TRY
Ficus tinctoria,F,TRY
Ficus glaberrima,F,TRY
Ficus gomelleira,F,TRY
Ficus americana,F,TRY
Ficus insipida,F,TRY
Ficus mathewsii,F,TRY
Ficus maxima,F,TRY
Ficus microcarpa,F,TRY
Ficus obliqua,F,TRY
Ficus obscura,F,TRY
Ficus americana,F,TRY
Ficus platypoda,F,TRY
Ficus religiosa,F,TRY
Ficus thonningii,F,TRY
Ficus schippii,F,TRY
Ficus schultesii,F,TRY
Ficus aurea,F,TRY
Ficus thonningii,F,TRY
Ficus aurea,F,TRY
Ficus watkinsiana,F,TRY
Ficus yoponensis,F,TRY
Ficus benjamina,F,TRY
Ficus lanata,F,TRY
Maclura brasiliensis,F,TRY
Trymatococcus amazonicus,F,TRY
Trymatococcus amazonicus,F,TRY
Metrosideros umbellata,F,TRY
Neea floribunda,F,TRY
Aptandra tubicina,F,TRY
Cathedra acuminata,F,TRY
Coula edulis,F,TRY
Diogoa zenkeri,F,TRY
Dulacia candida,F,TRY
Heisteria cauliflora,F,TRY
Heisteria acuminata,F,TRY
Heisteria ovata,F,TRY
Heisteria parvifolia,F,TRY
Heisteria acuminata,F,TRY
Heisteria concinna,F,TRY
Heisteria ovata,F,TRY
Heisteria silvianii,F,TRY
Heisteria spruceana,F,TRY
Maburea trinervis,F,TRY
Minquartia guianensis,F,TRY
Ochanostachys amentacea,F,TRY
Strombosia ceylanica,F,TRY
Strombosia scheffleri,F,TRY
Ximenia caffra,F,TRY
Agonandra peruviana,F,TRY
Agonandra brasiliensis,F,TRY
Agonandra silvatica,F,TRY
Champereia manillana,F,TRY
Coccoloba densifrons,F,TRY
Berlinianche aethiopica,F,TRY
Acanthosyris annonagustata,F,TRY
Acanthosyris falcata,F,TRY
Acanthosyris glabrata,F,TRY
Exocarpos latifolius,F,TRY
Santalum acuminatum,F,TRY
Paullinia xestophylla,F,TRY
Thinouia myriantha,F,TRY
Apeiba hybrid,F,TRY
Annona scandens,F,TRY
Abuta grandifolia,F,TRY
Calamus faberi,F,TRY
Calamus simplicifolius,F,TRY
Calamus australis,F,TRY
Calamus caryotoides,F,TRY
Calamus moti,F,TRY
Calamus perakensis,F,TRY
Calamus rhabdocladus,F,TRY
Calamus sarawakensis,F,TRY
Calamus heteroideus,F,TRY
Desmoncus isthmius,F,TRY
Desmoncus polyacanthos,F,TRY
Desmoncus orthacanthos,F,TRY
Korthalsia echinometra,F,TRY
Plectocomia elongata,F,TRY
Gnetum urens,F,TRY
Maytenus undata,F,TRY
Clusia hammeliana,F,TRY
Clusia flavida,F,TRY
Acacia pervillei,F,TRY
Acacia tucumanensis,F,TRY
Chusquea abietifolia,F,TRY
Chusquea bahiana,F,TRY
Chusquea bradei,F,TRY
Chusquea capitata,F,TRY
Chusquea capituliflora,F,TRY
Chusquea latifolia,F,TRY
Chusquea leptophylla,F,TRY
Chusquea londoniae,F,TRY
Chusquea oligophylla,F,TRY
Chusquea oxylepis,F,TRY
Chusquea quila,F,TRY
Chusquea ramosissima,F,TRY
Chusquea scandens,F,TRY
Chusquea sellowii,F,TRY
Chusquea tenuiglumis,F,TRY
Chusquea simpliciflora,F,TRY
Scleria secans,F,TRY
Ampelocalamus actinotrichus,F,TRY
Arthraxon lanceolatus,F,TRY
Arthrostylidium angustifolium,F,TRY
Arthrostylidium auriculatum,F,TRY
Arthrostylidium banaoense,F,TRY
Arthrostylidium canaliculatum,F,TRY
Arthrostylidium chiribiquetense,F,TRY
Arthrostylidium cubense,F,TRY
Arthrostylidium distichum,F,TRY
Arthrostylidium ecuadorense,F,TRY
Arthrostylidium ekmanii,F,TRY
Arthrostylidium excelsum,F,TRY
Arthrostylidium farctum,F,TRY
Arthrostylidium fimbriatum,F,TRY
Arthrostylidium fimbrinodum,F,TRY
Arthrostylidium grandifolium,F,TRY
Arthrostylidium haitiense,F,TRY
Arthrostylidium judziewiczii,F,TRY
Arthrostylidium longiflorum,F,TRY
Arthrostylidium merostachyoides,F,TRY
Arthrostylidium multispicatum,F,TRY
Arthrostylidium obtusatum,F,TRY
Arthrostylidium pubescens,F,TRY
Arthrostylidium punctulatum,F,TRY
Arthrostylidium reflexum,F,TRY
Arthrostylidium sarmentosum,F,TRY
Arthrostylidium scandens,F,TRY
Arthrostylidium schomburgkii,F,TRY
Arthrostylidium simpliciusculum,F,TRY
Arthrostylidium urbanii,F,TRY
Arthrostylidium venezuelae,F,TRY
Arthrostylidium virolinense,F,TRY
Arthrostylidium youngianum,F,TRY
Athroostachys capitata,F,TRY
Atractantha amazonica,F,TRY
Atractantha aureolanata,F,TRY
Atractantha cardinalis,F,TRY
Atractantha falcata,F,TRY
Atractantha radiata,F,TRY
Cephalostachyum chapelieri,F,TRY
Cephalostachyum perrieri,F,TRY
Cephalostachyum scandens,F,TRY
Cephalostachyum viguieri,F,TRY
Dinochloa acutiflora,F,TRY
Dinochloa alata,F,TRY
Dinochloa albociliata,F,TRY
Dinochloa andamanica,F,TRY
Dinochloa barbata,F,TRY
Dinochloa cordata,F,TRY
Dinochloa darvelana,F,TRY
Dinochloa dielsiana,F,TRY
Dinochloa elmeri,F,TRY
Dinochloa erecta,F,TRY
Dinochloa glabrescens,F,TRY
Dinochloa hirsuta,F,TRY
Dinochloa kostermansiana,F,TRY
Dinochloa luconiae,F,TRY
Dinochloa macclellandii,F,TRY
Dinochloa malayana,F,TRY
Dinochloa matmat,F,TRY
Dinochloa nicobariana,F,TRY
Dinochloa obclavata,F,TRY
Dinochloa oblonga,F,TRY
Dinochloa orenuda,F,TRY
Dinochloa palawanensis,F,TRY
Dinochloa prunifera,F,TRY
Dinochloa pubiramea,F,TRY
Dinochloa robusta,F,TRY
Dinochloa scabrida,F,TRY
Dinochloa sepang,F,TRY
Dinochloa sipitangensis,F,TRY
Dinochloa sublaevigata,F,TRY
Dinochloa trichogona,F,TRY
Dinochloa truncata,F,TRY
Dinochloa utilis,F,TRY
Dinochloa scandens,F,TRY
Hitchcockella baronii,F,TRY
Hygroryza aristata,F,TRY
Isachne angladei,F,TRY
Isachne angustifolia,F,TRY
Isachne arfakensis,F,TRY
Isachne disperma,F,TRY
Isachne gossweileri,F,TRY
Isachne disperma,F,TRY
Lasiacis divaricata,F,TRY
Lasiacis grisebachii,F,TRY
Lasiacis ligulata,F,TRY
Lasiacis sloanei,F,TRY
Lasiacis ruscifolia,F,TRY
Olyra latifolia,F,TRY
Desmodium axillare,C,stri
Desmodium heterocarpon,C,stri
Heisteria scandens,C,stri
Marcgravia nepenthoides,H,stri
Markea ulei,H,stri
Monstera dubia,E,stri
Myrospermum frutescens,C,stri
Philodendron fragrantissimum,H,stri
Philodendron guttiferum,H,stri
Philodendron panamense,E,stri
Philodendron pterotum,H,stri
Souroubea sympetala,H,stri
Syngonium hoffmannii,E,stri
Syngonium podophyllum,H,stri
Topobea parasitica,H,stri
Alchornea cordifolia,C,Addo-Fordjour2008
Blakea trinervia,C,Kelly1985
Hillia tetrandra,C,Kelly1985
Peperomia distachya,C,Kelly1985
Aechmea distichantha,F,floraBolivia
Elodea granatensis,F,floraBolivia
Asplenium monanthes,F,floraBolivia
Ayapana lanceolata,F,floraBolivia
Begonia glabra,F,floraBolivia
Bolbitis lindigii,F,floraBolivia
Bolbitis nicotianifolia,F,floraBolivia
Centrosema angustifolium,F,floraBolivia
Centrosema tapirapoanense,F,floraBolivia
Chamissoa altissima,F,floraBolivia
Cyperus articulatus,F,floraBolivia
Desmodium axillare,F,floraBolivia
Desmodium uncinatum,F,floraBolivia
Dichorisandra hexandra,F,floraBolivia
Egeria densa,F,floraBolivia
Egeria najas,F,floraBolivia
Elodea callitrichoides,F,floraBolivia
Elodea potamogeton,F,floraBolivia
Fiebrigiella gracilis,F,floraBolivia
Fuirena robusta,F,floraBolivia
Galium aparine,F,floraBolivia
Galium hypocarpium,F,floraBolivia
Guzmania marantoidea,F,floraBolivia
Hydrocotyle leucocephala,F,floraBolivia
Klaprothia mentzelioides,F,floraBolivia
Lasiacis divaricata,F,floraBolivia
Lasiacis ligulata,F,floraBolivia
Lasiacis ruscifolia,F,floraBolivia
Lathyrus paranensis,F,floraBolivia
Macroptilium atropurpureum,F,floraBolivia
Melica sarmentosa,F,floraBolivia
Mimosa diplotricha,F,floraBolivia
Mimosa pudica,F,floraBolivia
Najas guadalupensis,F,floraBolivia
Najas wrightiana,F,floraBolivia
Oldenlandia corymbosa,F,floraBolivia
Passiflora chrysophylla,F,floraBolivia
Passiflora foetida,F,floraBolivia
Peperomia argyreia,F,floraBolivia
Peperomia emarginella,F,floraBolivia
Peperomia glabella,F,floraBolivia
Peperomia pellucida,F,floraBolivia
Peperomia rhombea,F,floraBolivia
Pistia stratiotes,F,floraBolivia
Potamogeton illinoensis,F,floraBolivia
Potamogeton nodosus,F,floraBolivia
Potamogeton pusillus,F,floraBolivia
Ruppia maritima,F,floraBolivia
Scleria vaginata,F,floraBolivia
Struthanthus lewisii,F,floraBolivia
Struthanthus meridionalis,F,floraBolivia
Stuckenia filiformis,F,floraBolivia
Stuckenia pectinata,F,floraBolivia
Tillandsia asplundii,F,floraBolivia
Triuridopsis intermedia,F,floraBolivia
Tropaeolum tuberosum,F,floraBolivia
Utricularia breviscapa,F,floraBolivia
Utricularia guyanensis,F,floraBolivia
Utricularia jamesoniana,F,floraBolivia
Utricularia unifolia,F,floraBolivia
Valeriana decussata,F,floraBolivia
Valeriana scandens,F,floraBolivia
Voyria aphylla,F,floraBolivia
Voyria spruceana,F,floraBolivia
Voyria tenella,F,floraBolivia
Tilesia baccata,F,floraBolivia
Zannichellia andina,F,floraBolivia
Zannichellia palustris,F,floraBolivia
Aechmea distichantha,F,floraBolivia
Elodea granatensis,F,floraBolivia
Asplenium monanthes,F,floraBolivia
Ayapana lanceolata,F,floraBolivia
Begonia glabra,F,floraBolivia
Bolbitis lindigii,F,floraBolivia
Bolbitis nicotianifolia,F,floraBolivia
Centrosema angustifolium,F,floraBolivia
Centrosema tapirapoanense,F,floraBolivia
Chamissoa altissima,F,floraBolivia
Cyperus articulatus,F,floraBolivia
Desmodium axillare,F,floraBolivia
Desmodium uncinatum,F,floraBolivia
Dichorisandra hexandra,F,floraBolivia
Egeria densa,F,floraBolivia
Egeria najas,F,floraBolivia
Elodea callitrichoides,F,floraBolivia
Elodea potamogeton,F,floraBolivia
Fiebrigiella gracilis,F,floraBolivia
Fuirena robusta,F,floraBolivia
Galium aparine,F,floraBolivia
Galium hypocarpium,F,floraBolivia
Guzmania marantoidea,F,floraBolivia
Hydrocotyle leucocephala,F,floraBolivia
Klaprothia mentzelioides,F,floraBolivia
Lasiacis divaricata,F,floraBolivia
Lasiacis ligulata,F,floraBolivia
Lasiacis ruscifolia,F,floraBolivia
Lathyrus paranensis,F,floraBolivia
Macroptilium atropurpureum,F,floraBolivia
Melica sarmentosa,F,floraBolivia
Mimosa diplotricha,F,floraBolivia
Mimosa pudica,F,floraBolivia
Najas guadalupensis,F,floraBolivia
Najas wrightiana,F,floraBolivia
Oldenlandia corymbosa,F,floraBolivia
Passiflora chrysophylla,F,floraBolivia
Passiflora foetida,F,floraBolivia
Peperomia argyreia,F,floraBolivia
Peperomia emarginella,F,floraBolivia
Peperomia glabella,F,floraBolivia
Peperomia pellucida,F,floraBolivia
Peperomia rhombea,F,floraBolivia
Pistia stratiotes,F,floraBolivia
Potamogeton illinoensis,F,floraBolivia
Potamogeton nodosus,F,floraBolivia
Potamogeton pusillus,F,floraBolivia
Ruppia maritima,F,floraBolivia
Scleria vaginata,F,floraBolivia
Struthanthus lewisii,F,floraBolivia
Struthanthus meridionalis,F,floraBolivia
Stuckenia filiformis,F,floraBolivia
Stuckenia pectinata,F,floraBolivia
Tillandsia asplundii,F,floraBolivia
Triuridopsis intermedia,F,floraBolivia
Tropaeolum tuberosum,F,floraBolivia
Utricularia breviscapa,F,floraBolivia
Utricularia guyanensis,F,floraBolivia
Utricularia jamesoniana,F,floraBolivia
Utricularia unifolia,F,floraBolivia
Valeriana decussata,F,floraBolivia
Valeriana scandens,F,floraBolivia
Voyria aphylla,F,floraBolivia
Voyria spruceana,F,floraBolivia
Voyria tenella,F,floraBolivia
Tilesia baccata,F,floraBolivia
Zannichellia andina,F,floraBolivia
Zannichellia palustris,F,floraBolivia
Antidaphne viscoidea,H,floraBolivia
Philodendron heleniae,H,floraBolivia
Solanum gonyrhachis,H,floraBolivia
Alchornea latifolia,C,floraBolivia
Alchornea triplinervia,C,floraBolivia
Chiococca alba,C,floraBolivia
Clibadium divaricatum,C,floraBolivia
Cuscuta grandiflora,C,floraBolivia
Dasyphyllum brasiliense,C,floraBolivia
Davilla elliptica,C,floraBolivia
Dichorisandra hexandra,C,floraBolivia
Guettarda aromatica,C,floraBolivia
Lantana horrida,C,floraBolivia
Machaerium scleroxylon,C,floraBolivia
Macroptilium atropurpureum,C,floraBolivia
Passiflora foetida,C,floraBolivia
Pera glabrata,C,floraBolivia
Piptocarpha lechleri,C,floraBolivia
Potamogeton illinoensis,C,floraBolivia
Scleria splitgerberiana,C,floraBolivia
Scleria tenacissima,C,floraBolivia
Trixis antimenorrhoea,C,floraBolivia
Ficus adhatodifolia,P,floraBolivia
Aechmea distichantha,E,floraBolivia
Blakea mexiae,E,floraBolivia
Cereus hankeanus,E,floraBolivia
Cleistocactus baumannii,E,floraBolivia
Cleistocactus parviflorus,E,floraBolivia
Dyckia leptostachya,E,floraBolivia
Guzmania marantoidea,E,floraBolivia
Ligaria cuneifolia,E,floraBolivia
Philodendron ernestii,E,floraBolivia
Philodendron tripartitum,E,floraBolivia
Philodendron undulatum,E,floraBolivia
Phoradendron argentinum,E,floraBolivia
Phoradendron crassifolium,E,floraBolivia
Pitcairnia heydlauffii,E,floraBolivia
Polybotrya caudata,E,floraBolivia
Puya cochabambensis,E,floraBolivia
Solandra boliviana,E,floraBolivia
Struthanthus acuminatus,E,floraBolivia
Tillandsia asplundii,E,floraBolivia
Utricularia jamesoniana,E,floraBolivia
Utricularia unifolia,E,floraBolivia
Aeschynomene sensitiva,A,floraBolivia
Elodea granatensis,A,floraBolivia
Cyperus articulatus,A,floraBolivia
Egeria najas,A,floraBolivia
Elodea callitrichoides,A,floraBolivia
Elodea potamogeton,A,floraBolivia
Erechtites hieraciifolius,A,floraBolivia
Fuirena robusta,A,floraBolivia
Najas guadalupensis,A,floraBolivia
Najas wrightiana,A,floraBolivia
Phragmites australis,A,floraBolivia
Pistia stratiotes,A,floraBolivia
Potamogeton pusillus,A,floraBolivia
Ruppia maritima,A,floraBolivia
Stuckenia filiformis,A,floraBolivia
Stuckenia pectinata,A,floraBolivia
Typha domingensis,A,floraBolivia
Typha latifolia,A,floraBolivia
Utricularia breviscapa,A,floraBolivia
Utricularia guyanensis,A,floraBolivia
Zannichellia andina,A,floraBolivia
Zannichellia palustris,A,floraBolivia
Chiococca alba,F,floraBolivia
Cyrtocymura scorpioides,F,floraBolivia
Euphorbia milii,F,floraBolivia
Fiebrigiella gracilis,F,floraBolivia
Mimosa diplotricha,F,floraBolivia
Mimosa pudica,F,floraBolivia
Sphyrospermum buxifolium,F,floraBolivia
Tournefortia rubicunda,F,floraBolivia
Zapoteca portoricensis,F,floraBolivia
Alternanthera bettzickiana,A,aquariumPlantList
Alternanthera philoxeroides,A,aquariumPlantList
Alternanthera sessilis,A,aquariumPlantList
Aponogeton junceus,A,aquariumPlantList
Bacopa monnieri,A,aquariumPlantList
Baldellia ranunculoides,A,aquariumPlantList
Bolbitis heteroclita,A,aquariumPlantList
Callitriche hamulata,A,aquariumPlantList
Glossostigma diandrum,A,aquariumPlantList
Glossostigma elatinoides,A,aquariumPlantList
Gymnocoronis spilanthoides,A,aquariumPlantList
Hippuris vulgaris,A,aquariumPlantList
Hydrocotyle leucocephala,A,aquariumPlantList
Hydrocotyle sibthorpioides,A,aquariumPlantList
Hydrocotyle verticillata,A,aquariumPlantList
Hygrophila ringens,A,aquariumPlantList
Isolepis setacea,A,aquariumPlantList
Juncus repens,A,aquariumPlantList
Limnocharis flava,A,aquariumPlantList
Lindernia crustacea,A,aquariumPlantList
Lobelia cardinalis,A,aquariumPlantList
Ludwigia palustris,A,aquariumPlantList
Lycopodiella inundata,A,aquariumPlantList
Lysimachia nummularia,A,aquariumPlantList
Myriophyllum aquaticum,A,aquariumPlantList
Myriophyllum aquaticum,A,aquariumPlantList
Orontium aquaticum,A,aquariumPlantList
Samolus valerandi,A,aquariumPlantList
Saururus cernuus,A,aquariumPlantList
Spiranthes romanzoffiana,A,aquariumPlantList
Lantana camara,C,Durgion2011
Guettarda uruguensis,C,Durgion2011
Cuscuta approximata,C,ElGhani2011
Cuscuta campestris,C,ElGhani2011
Cuscuta chinensis,C,ElGhani2011
Cuscuta epilinum,C,ElGhani2011
Cuscuta monogyna,C,ElGhani2011
Cuscuta palaestina,C,ElGhani2011
Cuscuta pedicellata,C,ElGhani2011
Cuscuta planiflora,C,ElGhani2011
Prasium majus,C,ElGhani2011
Asparagus horridus,C,Flora_of_Israel_Online
Cuscuta palaestina,C,Flora_of_Israel_Online
Cuscuta monogyna,C,Flora_of_Israel_Online
Cuscuta approximata,C,Flora_of_Israel_Online
Cuscuta epithymum,C,Flora_of_Israel_Online
Cuscuta pedicellata,C,Flora_of_Israel_Online
Cuscuta epilinum,C,Flora_of_Israel_Online
Cuscuta campestris,C,Flora_of_Israel_Online
Cuscuta planiflora,C,Flora_of_Israel_Online
Lens culinaris,C,Flora_of_Israel_Online
Lens culinaris,C,Flora_of_Israel_Online
Prasium majus,C,Flora_of_Israel_Online
Boerhavia repens,C,Flora_of_Israel_Online
Polystachya rhodochila,E,eMonocot
Polystachya concreta,E,eMonocot
Acanthocereus tetragonus,C,The_PLANTS_Database
Allamanda schottii,C,The_PLANTS_Database
Alternanthera brasiliana,C,The_PLANTS_Database
Calystegia soldanella,C,The_PLANTS_Database
Cotoneaster adpressus,C,The_PLANTS_Database
Cuscuta americana,C,The_PLANTS_Database
Cuscuta applanata,C,The_PLANTS_Database
Cuscuta approximata,C,The_PLANTS_Database
Cuscuta attenuata,C,The_PLANTS_Database
Cuscuta boldinghii,C,The_PLANTS_Database
Cuscuta brachycalyx,C,The_PLANTS_Database
Cuscuta californica,C,The_PLANTS_Database
Cuscuta cassytoides,C,The_PLANTS_Database
Cuscuta ceanothi,C,The_PLANTS_Database
Cuscuta cephalanthi,C,The_PLANTS_Database
Cuscuta compacta,C,The_PLANTS_Database
Cuscuta coryli,C,The_PLANTS_Database
Cuscuta cuspidata,C,The_PLANTS_Database
Cuscuta decipiens,C,The_PLANTS_Database
Cuscuta dentatasquamata,C,The_PLANTS_Database
Cuscuta denticulata,C,The_PLANTS_Database
Cuscuta epilinum,C,The_PLANTS_Database
Cuscuta epithymum,C,The_PLANTS_Database
Cuscuta erosa,C,The_PLANTS_Database
Cuscuta europaea,C,The_PLANTS_Database
Cuscuta exaltata,C,The_PLANTS_Database
Cuscuta fasciculata,C,The_PLANTS_Database
Cuscuta globulosa,C,The_PLANTS_Database
Cuscuta glomerata,C,The_PLANTS_Database
Cuscuta gronovii,C,The_PLANTS_Database
Cuscuta harperi,C,The_PLANTS_Database
Cuscuta howelliana,C,The_PLANTS_Database
Cuscuta indecora,C,The_PLANTS_Database
Cuscuta japonica,C,The_PLANTS_Database
Cuscuta leptantha,C,The_PLANTS_Database
Cuscuta megalocarpa,C,The_PLANTS_Database
Cuscuta mitriformis,C,The_PLANTS_Database
Cuscuta obtusiflora,C,The_PLANTS_Database
Cuscuta odontolepis,C,The_PLANTS_Database
Cuscuta pentagona,C,The_PLANTS_Database
Cuscuta plattensis,C,The_PLANTS_Database
Cuscuta polygonorum,C,The_PLANTS_Database
Cuscuta potosina,C,The_PLANTS_Database
Cuscuta reflexa,C,The_PLANTS_Database
Cuscuta rostrata,C,The_PLANTS_Database
Cuscuta runyonii,C,The_PLANTS_Database
Cuscuta salina,C,The_PLANTS_Database
Cuscuta sandwichiana,C,The_PLANTS_Database
Cuscuta squamata,C,The_PLANTS_Database
Cuscuta suaveolens,C,The_PLANTS_Database
Cuscuta suksdorfii,C,The_PLANTS_Database
Cuscuta tuberculata,C,The_PLANTS_Database
Cuscuta umbellata,C,The_PLANTS_Database
Cuscuta veatchii,C,The_PLANTS_Database
Cuscuta warneri,C,The_PLANTS_Database
Cyanea copelandii,C,The_PLANTS_Database
Dicranopteris linearis,C,The_PLANTS_Database
Euphorbia milii,C,The_PLANTS_Database
Fuchsia magellanica,C,The_PLANTS_Database
Galium verum,C,The_PLANTS_Database
Harrisia martinii,C,The_PLANTS_Database
Harrisia pomanensis,C,The_PLANTS_Database
Helichrysum petiolare,C,The_PLANTS_Database
Hyptis suaveolens,C,The_PLANTS_Database
Jasminum mesnyi,C,The_PLANTS_Database
Lantana camara,C,The_PLANTS_Database
Lycianthes asarifolia,C,The_PLANTS_Database
Microgramma lycopodioides,C,The_PLANTS_Database
Microgramma piloselloides,C,The_PLANTS_Database
Mikania congesta,C,The_PLANTS_Database
Mikania cordata,C,The_PLANTS_Database
Mikania cordifolia,C,The_PLANTS_Database
Mikania scandens,C,The_PLANTS_Database
Oleandra articulata,C,The_PLANTS_Database
Peperomia distachya,C,The_PLANTS_Database
Philodendron fragrantissimum,C,The_PLANTS_Database
Phyllostachys aurea,C,The_PLANTS_Database
Pleopeltis polypodioides,C,The_PLANTS_Database
Ribes laxiflorum,C,The_PLANTS_Database
Rosa chinensis,C,The_PLANTS_Database
Salpichroa origanifolia,C,The_PLANTS_Database
Solanum jamaicense,C,The_PLANTS_Database
Tillandsia usneoides,C,The_PLANTS_Database
Tribulus cistoides,C,The_PLANTS_Database
Vicia faba,C,The_PLANTS_Database
Vigna mungo,C,The_PLANTS_Database
Vinca major,C,The_PLANTS_Database
Vinca minor,C,The_PLANTS_Database
Ficus hispida,C,Han2010
Ficus subulata,C,Han2010
Mabea taquari,C,Inside_Wood
Erythropalum scandens,C,Inside_Wood
Allophylus cobbe,C,Inside_Wood
Styrax americanus,C,Inside_Wood
Schultesianthus venosus,C,Krings2000
Artabotrys brachypetalus,C,POSA
Centella asiatica,C,POSA
Centella laevis,C,POSA
Centella lanata,C,POSA
Landolphia kirkii,C,POSA
Vinca major,C,POSA
Asparagus africanus,C,POSA
Melanthera biflora,C,POSA
Harrisia martinii,C,POSA
Cnestis polyphylla,C,POSA
Acacia ataxacantha,C,POSA
Acacia brevispica,C,POSA
Bauhinia petersiana,C,POSA
Caesalpinia bonduc,C,POSA
Mimosa pigra,C,POSA
Vicia sativa,C,POSA
Vigna unguiculata,C,POSA
Ficus burtt-davyi,C,POSA
Coptosperma nigrescens,C,POSA
Keetia gueinzii,C,POSA
Rhoicissus tridentata,C,POSA
Centella callioda,C,POSA
Allamanda cathartica,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Kibatalia macrophylla,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Nerium oleander,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Tabernaemontana corymbosa,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Calamus arborescens,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Calamus concinnus,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Calamus erectus,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Hoya linearis,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Senecio nudicaulis,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Bauhinia brachycarpa,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Caesalpinia pulcherrima,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Cannabis sativa,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Ceratophyllum muricatum,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Ceratophyllum demersum,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Eriocaulon cinereum,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Eriocaulon collettii,A,United_States_National_Herbarium_Myanmar_Checklist_2003
Derris microphylla,C,United_States_National_Herbarium_Myanmar_Checklist_2003
Glycine max,C,United_States_National_Herbarium_Myanmar_Checklist_2003
